date,value,transformation
2016-04-01,5.613619,level
2016-07-01,5.898147,level
2016-10-01,3.971279,level
2017-01-01,3.766472,level
2017-04-01,3.489593,level
2017-07-01,3.572097,level
2017-10-01,3.752862,level
2018-01-01,3.900619,level
2018-04-01,3.398713,level
2018-07-01,2.767238,level
2018-10-01,2.946029,level
2019-01-01,3.146186,level
2019-04-01,3.056764,level
2019-07-01,3.109405,level
2019-10-01,2.895837,level
2020-01-01,2.405732,level
2020-04-01,2.58952,level
2020-07-01,2.33818,level
2020-10-01,2.38673,level
2021-01-01,2.374519,level
2021-04-01,2.469101,level
2021-07-01,2.280496,level
2021-10-01,2.42976,level
2022-01-01,2.330436,level
2022-04-01,2.481743,level
2022-07-01,2.526791,level
2022-10-01,2.632087,level
2023-01-01,2.838781,level
2023-04-01,2.886402,level
2023-07-01,3.01025,level
2023-10-01,2.929083,level
2024-01-01,3.175963,level
2024-04-01,3.301989,level
2024-07-01,3.403798,level
2024-10-01,3.243551,level
2025-01-01,3.346009,level
2025-04-01,3.253001,level
2025-07-01,3.262265,level
2025-10-01,3.382434,level
2026-01-01,3.422892,level
2026-04-01,3.815915,level
2026-07-01,3.602035,level
