date,value,transformation
2016-04-01,9.527314,level
2016-07-01,9.402721,level
2016-10-01,7.94635,level
2017-01-01,7.961951,level
2017-04-01,7.762089,level
2017-07-01,7.795422,level
2017-10-01,7.590587,level
2018-01-01,7.496095,level
2018-04-01,7.41395,level
2018-07-01,7.336896,level
2018-10-01,7.320311,level
2019-01-01,7.230096,level
2019-04-01,7.132242,level
2019-07-01,6.995766,level
2019-10-01,6.446634,level
2020-01-01,5.899178,level
2020-04-01,5.47852,level
2020-07-01,5.110953,level
2020-10-01,5.3618,level
2021-01-01,5.158662,level
2021-04-01,5.73659,level
2021-07-01,5.550954,level
2021-10-01,5.555051,level
2022-01-01,5.273117,level
2022-04-01,5.348047,level
2022-07-01,5.385922,level
2022-10-01,5.733848,level
2023-01-01,6.099823,level
2023-04-01,6.61685,level
2023-07-01,6.795315,level
2023-10-01,6.779327,level
2024-01-01,8.151666,level
2024-04-01,7.076798,level
2024-07-01,7.248322,level
2024-10-01,7.065161,level
2025-01-01,7.107841,level
2025-04-01,7.34163,level
2025-07-01,7.101102,level
2025-10-01,7.323007,level
2026-01-01,7.507616,level
2026-04-01,8.061423,level
2026-07-01,8.638192,level
