date,value,transformation
1997-01-01,27.0,level
1997-02-01,32.6,level
1997-03-01,31.9,level
1997-04-01,30.7,level
1997-05-01,33.3,level
1997-06-01,32.6,level
1997-07-01,29.7,level
1997-08-01,26.3,level
1997-09-01,24.8,level
1997-10-01,26.3,level
1997-11-01,20.4,level
1997-12-01,24.6,level
1998-01-01,25.3,level
1998-02-01,26.6,level
1998-03-01,26.2,level
1998-04-01,27.1,level
1998-05-01,23.9,level
1998-06-01,21.4,level
1998-07-01,22.1,level
1998-08-01,20.9,level
1998-09-01,20.2,level
1998-10-01,21.4,level
1998-11-01,23.1,level
1998-12-01,27.1,level
1999-01-01,26.3,level
1999-02-01,20.4,level
1999-03-01,24.5,level
1999-04-01,16.1,level
1999-05-01,19.9,level
1999-06-01,17.7,level
1999-07-01,25.1,level
1999-08-01,26.2,level
1999-09-01,40.2,level
1999-10-01,21.8,level
1999-11-01,26.1,level
1999-12-01,16.3,level
2000-01-01,27.5,level
2000-02-01,24.0,level
2000-03-01,27.7,level
2000-04-01,25.5,level
2000-05-01,27.2,level
2000-06-01,25.3,level
2000-07-01,28.0,level
2000-08-01,28.6,level
2000-09-01,27.6,level
2000-10-01,29.0,level
2000-11-01,28.2,level
2000-12-01,27.0,level
2001-01-01,28.7,level
2001-02-01,28.5,level
2001-03-01,26.0,level
2001-04-01,26.0,level
2001-05-01,26.2,level
2001-06-01,25.1,level
2001-07-01,24.9,level
2001-08-01,25.5,level
2001-09-01,24.2,level
2001-10-01,24.9,level
2001-11-01,24.1,level
2001-12-01,24.5,level
2002-01-01,26.6,level
2002-02-01,24.1,level
2002-03-01,25.4,level
2002-04-01,24.8,level
2002-05-01,24.6,level
2002-06-01,24.7,level
2002-07-01,25.2,level
2002-08-01,24.5,level
2002-09-01,24.1,level
2002-10-01,24.4,level
2002-11-01,24.2,level
2002-12-01,21.5,level
2003-01-01,24.3,level
2003-02-01,24.1,level
2003-03-01,23.0,level
2003-04-01,22.5,level
2003-05-01,24.9,level
2003-06-01,22.2,level
2003-07-01,22.0,level
2003-08-01,19.8,level
2003-09-01,22.1,level
2003-10-01,19.8,level
2003-11-01,20.4,level
2003-12-01,20.3,level
2004-01-01,19.4,level
2004-02-01,22.1,level
2004-03-01,21.4,level
2004-04-01,21.5,level
2004-05-01,21.1,level
2004-06-01,21.2,level
2004-07-01,21.5,level
2004-08-01,21.9,level
2004-09-01,20.4,level
2004-10-01,21.9,level
2004-11-01,20.6,level
2004-12-01,19.5,level
2005-01-01,20.5,level
2005-02-01,20.2,level
2005-03-01,20.4,level
2005-04-01,19.9,level
2005-05-01,20.0,level
2005-06-01,19.6,level
2005-07-01,19.3,level
2005-08-01,19.3,level
2005-09-01,19.4,level
2005-10-01,19.7,level
2005-11-01,19.5,level
2005-12-01,19.7,level
2006-01-01,20.0,level
2006-02-01,19.1,level
2006-03-01,19.3,level
2006-04-01,19.3,level
2006-05-01,19.0,level
2006-06-01,19.8,level
2006-07-01,20.7,level
2006-08-01,20.6,level
2006-09-01,20.6,level
2006-10-01,19.7,level
2006-11-01,19.3,level
2006-12-01,18.0,level
2007-01-01,18.7,level
2007-02-01,18.5,level
2007-03-01,17.5,level
2007-04-01,16.8,level
2007-05-01,17.1,level
2007-06-01,16.7,level
2007-07-01,16.7,level
2007-08-01,17.1,level
2007-09-01,18.7,level
2007-12-01,19.3,level
2008-01-01,19.3,level
2008-02-01,19.3,level
2008-03-01,18.1,level
2008-04-01,19.5,level
2008-05-01,19.4,level
2008-06-01,19.8,level
2008-07-01,20.4,level
2009-01-01,18.4,level
2009-12-01,21.6,level
2010-01-01,21.4,level
2010-02-01,21.0,level
2010-03-01,20.9,level
2010-04-01,19.1,level
2010-05-01,20.4,level
2010-06-01,20.0,level
2010-07-01,19.1,level
2010-08-01,19.8,level
2010-09-01,19.8,level
2010-10-01,19.6,level
2010-11-01,19.1,level
2010-12-01,20.3,level
2011-01-01,22.7,level
2011-02-01,21.0,level
2011-03-01,20.9,level
2011-04-01,20.2,level
2011-05-01,21.3,level
2011-06-01,19.4,level
2011-07-01,21.0,level
2011-08-01,19.9,level
2011-09-01,19.2,level
2011-10-01,19.7,level
2011-11-01,19.5,level
2011-12-01,20.4,level
2012-01-01,21.5,level
2012-02-01,20.6,level
2012-03-01,20.5,level
2012-04-01,19.9,level
2012-05-01,20.7,level
2012-06-01,20.9,level
2012-07-01,20.8,level
2012-08-01,20.5,level
2012-09-01,21.1,level
2012-10-01,22.1,level
2012-11-01,21.4,level
2012-12-01,21.2,level
2013-01-01,22.0,level
2013-02-01,20.8,level
2013-03-01,21.6,level
2013-04-01,21.8,level
2013-05-01,20.0,level
2013-06-01,19.5,level
2013-07-01,19.6,level
2013-08-01,20.2,level
2013-09-01,19.6,level
2013-10-01,19.2,level
2013-11-01,19.9,level
2013-12-01,20.3,level
2014-01-01,21.2,level
2014-02-01,20.0,level
2014-03-01,19.7,level
2014-04-01,18.0,level
2014-05-01,19.0,level
2014-06-01,19.8,level
2015-01-01,20.4,level
2015-02-01,21.4,level
2015-03-01,18.5,level
2015-04-01,16.6,level
2015-05-01,17.6,level
2015-06-01,16.3,level
2015-07-01,17.3,level
2015-08-01,17.2,level
2015-09-01,17.1,level
2015-10-01,16.7,level
2015-11-01,17.2,level
2015-12-01,17.3,level
2016-01-01,18.1,level
2016-02-01,18.6,level
2016-03-01,18.2,level
2016-04-01,19.2,level
2016-05-01,18.2,level
2016-06-01,19.0,level
2016-07-01,20.1,level
2016-08-01,19.9,level
2016-09-01,18.9,level
2016-10-01,19.2,level
2016-11-01,19.0,level
2016-12-01,18.4,level
2017-01-01,18.6,level
2017-02-01,18.7,level
2017-03-01,18.4,level
2017-04-01,18.7,level
2017-05-01,18.6,level
2017-06-01,18.6,level
2017-07-01,18.7,level
2017-08-01,19.0,level
2017-09-01,18.8,level
2017-10-01,19.2,level
2017-11-01,18.9,level
2017-12-01,19.2,level
2018-01-01,20.1,level
2018-02-01,19.4,level
2018-03-01,19.6,level
2018-04-01,19.6,level
2018-05-01,19.3,level
2018-06-01,19.1,level
2018-07-01,18.4,level
2018-08-01,18.4,level
2018-09-01,17.6,level
2018-10-01,17.3,level
2018-11-01,17.1,level
2018-12-01,17.2,level
2019-01-01,18.4,level
2019-02-01,18.2,level
2019-03-01,17.8,level
2019-04-01,18.5,level
2019-05-01,18.1,level
2019-06-01,17.3,level
2019-07-01,18.9,level
2019-08-01,18.8,level
2019-09-01,18.4,level
2019-10-01,18.0,level
2019-11-01,17.0,level
2019-12-01,16.8,level
2020-01-01,19.0,level
2020-02-01,19.0,level
2020-03-01,17.7,level
2020-04-01,17.1,level
2020-05-01,17.6,level
2020-06-01,16.9,level
2020-07-01,16.7,level
2020-08-01,17.1,level
2020-09-01,17.3,level
2020-10-01,16.9,level
2020-11-01,14.9,level
2020-12-01,14.9,level
2021-01-01,18.5,level
2021-02-01,18.2,level
2021-03-01,17.0,level
2021-04-01,17.3,level
2021-05-01,17.5,level
2021-06-01,16.6,level
2021-07-01,18.2,level
2021-08-01,17.2,level
2021-09-01,17.5,level
2021-10-01,18.1,level
2021-11-01,17.596019,level
2021-12-01,17.523192,level
2022-01-01,17.664032,level
2022-02-01,18.43078,level
2022-03-01,17.975229,level
2022-04-01,17.319662,level
2022-05-01,16.975606,level
2022-06-01,17.216312,level
2022-07-01,16.313651,level
2022-08-01,17.75614,level
2022-09-01,17.82924,level
2022-10-01,17.29474,level
2022-11-01,15.295712,level
2022-12-01,17.397804,level
2023-01-01,19.399859,level
2023-02-01,20.051944,level
2023-03-01,19.693154,level
2023-04-01,19.742606,level
2023-05-01,19.817461,level
2023-06-01,19.791665,level
2023-07-01,16.790743,level
2023-08-01,20.245378,level
2023-09-01,20.049998,level
2023-10-01,19.997625,level
2023-11-01,17.300104,level
2023-12-01,17.905962,level
2024-01-01,20.689657,level
2024-02-01,18.661669,level
2024-03-01,20.022903,level
2024-04-01,20.792591,level
2024-05-01,20.443836,level
2024-06-01,18.619233,level
2024-07-01,20.285207,level
2024-08-01,20.238806,level
2024-09-01,21.566424,level
2024-10-01,20.469231,level
2024-11-01,18.619048,level
2024-12-01,18.765418,level
2025-01-01,21.827338,level
2025-02-01,20.46436,level
2025-03-01,21.397458,level
2025-04-01,21.466147,level
2025-05-01,21.488866,level
2025-06-01,20.265485,level
2025-07-01,21.856251,level
2025-08-01,21.014836,level
2025-09-01,21.443504,level
2025-10-01,21.486027,level
2025-11-01,20.010072,level
2025-12-01,20.050995,level
2026-01-01,22.392018,level
2026-02-01,21.574495,level
2026-03-01,22.342903,level
2026-04-01,22.541431,level
2026-05-01,22.661327,level
2026-06-01,20.861069,level
2026-07-01,21.639529,level
2026-08-01,21.93181,level
