date,value,transformation
1997-01-01,36.2,level
1997-02-01,34.9,level
1997-03-01,35.4,level
1997-04-01,35.9,level
1997-05-01,31.8,level
1997-06-01,31.9,level
1997-07-01,31.8,level
1997-08-01,30.3,level
1997-09-01,26.2,level
1997-10-01,22.7,level
1997-11-01,22.3,level
1997-12-01,21.3,level
1998-01-01,20.8,level
1998-02-01,21.4,level
1998-03-01,22.0,level
1998-04-01,22.0,level
1998-05-01,20.1,level
1998-06-01,21.1,level
1998-07-01,21.0,level
1998-08-01,23.0,level
1998-09-01,19.8,level
1998-10-01,20.8,level
1998-11-01,19.0,level
1998-12-01,17.0,level
1999-01-01,18.0,level
1999-02-01,19.3,level
1999-03-01,22.1,level
1999-04-01,22.2,level
1999-05-01,24.7,level
1999-06-01,23.9,level
1999-07-01,24.3,level
1999-08-01,23.6,level
1999-09-01,22.3,level
1999-10-01,26.5,level
1999-11-01,22.0,level
1999-12-01,20.8,level
2000-01-01,19.4,level
2000-02-01,21.4,level
2000-03-01,20.8,level
2000-04-01,21.0,level
2000-05-01,19.2,level
2000-06-01,18.5,level
2000-07-01,18.7,level
2000-08-01,18.5,level
2000-09-01,19.1,level
2000-10-01,19.6,level
2000-11-01,17.3,level
2000-12-01,18.8,level
2001-01-01,18.1,level
2001-02-01,17.5,level
2001-03-01,18.7,level
2001-04-01,18.7,level
2001-05-01,19.3,level
2001-06-01,17.3,level
2001-07-01,16.5,level
2001-08-01,17.1,level
2001-09-01,17.8,level
2001-10-01,17.7,level
2001-11-01,16.3,level
2001-12-01,15.3,level
2002-01-01,14.4,level
2002-02-01,15.6,level
2002-03-01,15.7,level
2002-04-01,15.0,level
2002-05-01,15.2,level
2002-06-01,14.6,level
2002-07-01,15.2,level
2002-08-01,20.2,level
2002-09-01,15.3,level
2002-10-01,15.5,level
2002-11-01,16.2,level
2002-12-01,14.1,level
2003-01-01,14.4,level
2003-02-01,15.8,level
2003-03-01,15.7,level
2003-04-01,16.9,level
2003-05-01,15.0,level
2003-06-01,15.4,level
2003-07-01,16.1,level
2003-08-01,15.8,level
2003-09-01,15.5,level
2003-10-01,15.1,level
2003-11-01,15.2,level
2003-12-01,14.9,level
2004-01-01,15.0,level
2004-02-01,14.8,level
2004-03-01,14.9,level
2004-04-01,15.0,level
2004-05-01,14.3,level
2004-06-01,14.3,level
2004-07-01,14.3,level
2004-08-01,14.1,level
2004-09-01,14.4,level
2004-10-01,14.5,level
2004-11-01,14.5,level
2004-12-01,13.7,level
2005-01-01,14.0,level
2005-02-01,14.1,level
2005-03-01,14.4,level
2005-04-01,13.6,level
2005-05-01,14.0,level
2005-06-01,13.1,level
2005-07-01,14.0,level
2005-08-01,14.0,level
2005-09-01,13.7,level
2005-10-01,13.7,level
2005-11-01,13.4,level
2005-12-01,13.0,level
2006-01-01,13.1,level
2006-02-01,13.0,level
2006-03-01,13.5,level
2006-04-01,13.7,level
2006-05-01,13.5,level
2006-06-01,13.4,level
2006-07-01,13.1,level
2006-08-01,13.3,level
2006-09-01,13.1,level
2006-10-01,12.7,level
2006-11-01,12.9,level
2006-12-01,12.2,level
2007-01-01,12.9,level
2007-02-01,12.8,level
2007-03-01,13.1,level
2007-04-01,13.0,level
2007-05-01,13.3,level
2007-06-01,12.8,level
2007-07-01,13.0,level
2007-08-01,13.5,level
2007-09-01,14.4,level
2007-12-01,14.8,level
2008-01-01,15.5,level
2008-02-01,15.9,level
2008-03-01,15.9,level
2008-04-01,15.6,level
2008-05-01,16.1,level
2008-06-01,16.3,level
2008-07-01,16.2,level
2009-01-01,16.5,level
2009-12-01,14.3,level
2010-01-01,15.1,level
2010-02-01,15.3,level
2010-03-01,14.2,level
2010-04-01,13.6,level
2010-05-01,14.2,level
2010-06-01,14.1,level
2010-07-01,13.7,level
2010-08-01,13.7,level
2010-09-01,13.5,level
2010-10-01,12.5,level
2010-11-01,13.2,level
2010-12-01,12.9,level
2011-01-01,12.8,level
2011-02-01,12.6,level
2011-03-01,12.2,level
2011-04-01,12.2,level
2011-05-01,12.5,level
2011-06-01,11.9,level
2011-07-01,12.0,level
2011-08-01,11.8,level
2011-09-01,11.3,level
2011-10-01,11.2,level
2011-11-01,11.3,level
2011-12-01,10.8,level
2012-01-01,11.2,level
2012-02-01,11.2,level
2012-03-01,11.3,level
2012-04-01,11.3,level
2012-05-01,11.4,level
2012-06-01,11.2,level
2012-07-01,11.1,level
2012-08-01,11.2,level
2012-09-01,11.0,level
2012-10-01,10.6,level
2012-11-01,10.7,level
2012-12-01,10.3,level
2013-01-01,10.6,level
2013-02-01,10.4,level
2013-03-01,10.6,level
2013-04-01,10.6,level
2013-05-01,10.9,level
2013-06-01,10.3,level
2013-07-01,10.4,level
2013-08-01,10.9,level
2013-09-01,10.5,level
2013-10-01,10.6,level
2013-11-01,10.8,level
2013-12-01,10.0,level
2014-01-01,10.5,level
2014-02-01,10.2,level
2014-03-01,10.7,level
2014-04-01,10.8,level
2014-05-01,11.0,level
2014-06-01,10.4,level
2015-01-01,17.4,level
2015-02-01,19.0,level
2015-03-01,18.1,level
2015-04-01,15.1,level
2015-05-01,15.3,level
2015-06-01,14.2,level
2015-07-01,14.0,level
2015-08-01,13.8,level
2015-09-01,14.4,level
2015-10-01,14.8,level
2015-11-01,15.7,level
2015-12-01,16.0,level
2016-01-01,25.8,level
2016-02-01,19.1,level
2016-03-01,18.0,level
2016-04-01,17.8,level
2016-05-01,16.6,level
2016-06-01,16.3,level
2016-07-01,16.2,level
2016-08-01,16.0,level
2016-09-01,15.1,level
2016-10-01,15.8,level
2016-11-01,14.9,level
2016-12-01,14.5,level
2017-01-01,15.2,level
2017-02-01,14.2,level
2017-03-01,13.0,level
2017-04-01,13.9,level
2017-05-01,13.3,level
2017-06-01,14.0,level
2017-07-01,13.7,level
2017-08-01,13.8,level
2017-09-01,13.1,level
2017-10-01,13.5,level
2017-11-01,13.4,level
2017-12-01,13.2,level
2018-01-01,13.4,level
2018-02-01,12.9,level
2018-03-01,12.8,level
2018-04-01,12.2,level
2018-05-01,12.5,level
2018-06-01,12.5,level
2018-07-01,12.4,level
2018-08-01,12.2,level
2018-09-01,12.2,level
2018-10-01,12.5,level
2018-11-01,12.5,level
2018-12-01,11.7,level
2019-01-01,12.4,level
2019-02-01,12.4,level
2019-03-01,12.0,level
2019-04-01,12.0,level
2019-05-01,11.9,level
2019-06-01,11.7,level
2019-07-01,12.0,level
2019-08-01,11.9,level
2019-09-01,11.7,level
2019-10-01,12.0,level
2019-11-01,12.2,level
2019-12-01,12.1,level
2020-01-01,12.1,level
2020-02-01,12.0,level
2020-03-01,12.5,level
2020-04-01,12.1,level
2020-05-01,11.4,level
2020-06-01,11.0,level
2020-07-01,11.9,level
2020-08-01,11.9,level
2020-09-01,12.1,level
2020-10-01,11.8,level
2020-11-01,11.9,level
2020-12-01,11.4,level
2021-01-01,11.5,level
2021-02-01,11.5,level
2021-03-01,11.5,level
2021-04-01,11.6,level
2021-05-01,11.6,level
2021-06-01,11.6,level
2021-07-01,11.6,level
2021-08-01,11.6,level
2021-09-01,11.8,level
2021-10-01,12.0,level
2021-11-01,11.865095,level
2021-12-01,12.1613,level
2022-01-01,12.038881,level
2022-02-01,12.23103,level
2022-03-01,14.520882,level
2022-04-01,15.176249,level
2022-05-01,15.774864,level
2022-06-01,15.762594,level
2022-07-01,16.059338,level
2022-08-01,16.246022,level
2022-09-01,16.229795,level
2022-10-01,17.005702,level
2022-11-01,18.421907,level
2022-12-01,19.197475,level
2023-01-01,19.184304,level
2023-02-01,19.451957,level
2023-03-01,18.810038,level
2023-04-01,18.17065,level
2023-05-01,18.951812,level
2023-06-01,18.95908,level
2023-07-01,19.388442,level
2023-08-01,19.53144,level
2023-09-01,19.242245,level
2023-10-01,19.176571,level
2023-11-01,19.049796,level
2023-12-01,18.729569,level
2024-01-01,18.504459,level
2024-02-01,18.125511,level
2024-03-01,17.779726,level
2024-04-01,17.85444,level
2024-05-01,18.118091,level
2024-06-01,17.981809,level
2024-07-01,17.732911,level
2024-08-01,17.6115,level
2024-09-01,17.591709,level
2024-10-01,17.614066,level
2024-11-01,17.430701,level
2024-12-01,17.814627,level
2025-01-01,17.891637,level
2025-02-01,18.280248,level
2025-03-01,18.986934,level
2025-04-01,19.10056,level
2025-05-01,18.760523,level
2025-06-01,19.113517,level
2025-07-01,19.103234,level
2025-08-01,18.961527,level
2025-09-01,19.12429,level
2025-10-01,19.669636,level
2025-11-01,20.126385,level
2025-12-01,19.842642,level
2026-01-01,20.373654,level
2026-02-01,20.519399,level
2026-03-01,20.344499,level
2026-04-01,20.004867,level
2026-05-01,20.301006,level
2026-06-01,19.803912,level
2026-07-01,19.563309,level
2026-08-01,19.34847,level
