date,value,transformation
2016-04-01,32.1925,level
2016-07-01,34.906977,level
2016-10-01,25.162437,level
2017-01-01,22.848958,level
2017-04-01,24.001765,level
2017-07-01,23.612319,level
2017-10-01,25.268852,level
2018-01-01,26.428144,level
2018-04-01,26.614933,level
2018-07-01,22.867412,level
2018-10-01,26.584559,level
2019-01-01,27.048846,level
2019-04-01,25.327949,level
2019-07-01,25.803841,level
2019-10-01,23.779831,level
2020-01-01,19.288952,level
2020-04-01,19.596093,level
2020-07-01,18.266112,level
2020-10-01,19.250104,level
2021-01-01,19.475528,level
2021-04-01,20.468085,level
2021-07-01,19.001472,level
2021-10-01,20.853408,level
2022-01-01,17.498563,level
2022-04-01,18.151442,level
2022-07-01,18.292592,level
2022-10-01,18.388325,level
2023-01-01,18.484394,level
2023-04-01,21.165507,level
2023-07-01,23.822081,level
2023-10-01,22.658199,level
2024-01-01,24.397,level
2024-04-01,23.365612,level
2024-07-01,24.133036,level
2024-10-01,23.852681,level
2025-01-01,26.713836,level
2025-04-01,26.87703,level
2025-07-01,27.322491,level
2025-10-01,27.082113,level
2026-01-01,27.737141,level
2026-04-01,28.675861,level
2026-07-01,26.442051,level
