date,value,transformation
1994-02-01,8232.0,level
1994-03-01,12540.0,level
1994-04-01,58595.0,level
1994-05-01,38764.0,level
1994-06-01,44430.0,level
1994-07-01,44291.0,level
1994-08-01,30760.0,level
1994-09-01,34286.0,level
1994-10-01,40132.0,level
1994-11-01,42100.0,level
1994-12-01,45413.0,level
1995-01-01,55417.0,level
1995-02-01,53352.0,level
1995-03-01,55253.0,level
1995-04-01,61630.0,level
1995-05-01,75140.0,level
1995-06-01,74640.0,level
1995-07-01,83319.0,level
1995-08-01,91481.0,level
1995-09-01,92146.0,level
1995-10-01,92295.0,level
1995-11-01,106205.0,level
1995-12-01,113041.0,level
1996-01-01,115795.0,level
1996-02-01,112403.0,level
1996-03-01,116285.0,level
1996-04-01,113625.0,level
1996-05-01,114054.0,level
1996-06-01,133559.0,level
1996-07-01,115147.0,level
1996-08-01,120504.0,level
1996-09-01,124254.0,level
1996-10-01,120107.0,level
1996-11-01,118924.0,level
1996-12-01,121886.0,level
1997-01-01,134991.0,level
1997-02-01,125594.0,level
1997-03-01,131426.0,level
1997-04-01,137305.0,level
1997-05-01,135823.0,level
1997-06-01,138468.0,level
1997-07-01,144024.0,level
1997-08-01,152832.0,level
1997-09-01,162684.0,level
1997-10-01,166150.0,level
1997-11-01,154017.0,level
1997-12-01,162451.0,level
1998-01-01,172999.0,level
1998-02-01,155725.0,level
1998-03-01,154373.0,level
1998-04-01,155679.0,level
1998-05-01,160488.0,level
1998-06-01,164537.0,level
1998-07-01,161201.0,level
1998-08-01,163663.0,level
1998-09-01,159658.0,level
1998-10-01,148756.0,level
1998-11-01,147202.0,level
1998-12-01,143800.0,level
1999-01-01,148549.0,level
1999-02-01,131664.0,level
1999-03-01,134058.0,level
1999-04-01,128049.0,level
1999-05-01,145471.0,level
1999-06-01,157252.0,level
1999-07-01,161499.0,level
1999-08-01,182526.0,level
1999-09-01,193930.0,level
1999-10-01,197249.0,level
1999-11-01,211730.0,level
1999-12-01,215739.0,level
2000-01-01,273880.0,level
2000-02-01,255838.0,level
2000-03-01,261628.0,level
2000-04-01,260340.0,level
2000-05-01,270182.0,level
2000-06-01,284461.0,level
2000-07-01,318284.0,level
2000-08-01,342088.0,level
2000-09-01,347456.0,level
2000-10-01,359759.0,level
2000-11-01,386547.0,level
2000-12-01,384154.0,level
2001-01-01,397015.0,level
2001-02-01,380659.0,level
2001-03-01,401351.0,level
2001-04-01,418733.0,level
2001-05-01,408343.0,level
2001-06-01,412231.0,level
2001-07-01,468080.0,level
2001-08-01,507000.0,level
2001-09-01,508342.0,level
2001-10-01,533824.0,level
2001-11-01,523677.0,level
2001-12-01,522239.0,level
2002-01-01,576023.0,level
2002-02-01,536985.0,level
2002-03-01,537735.0,level
2002-04-01,557682.0,level
2002-05-01,580237.0,level
2002-06-01,602079.0,level
2002-07-01,615729.0,level
2002-08-01,634204.0,level
2002-09-01,639726.0,level
2002-10-01,671735.0,level
2002-11-01,705723.0,level
2002-12-01,694716.0,level
2003-01-01,764954.0,level
2003-02-01,725019.0,level
2003-03-01,772479.0,level
2003-04-01,793018.0,level
2003-05-01,816507.0,level
2003-06-01,853347.0,level
2003-07-01,892320.0,level
2003-08-01,906156.0,level
2003-09-01,911109.0,level
2003-10-01,984875.0,level
2003-11-01,991048.0,level
2003-12-01,985804.0,level
2004-01-01,971749.0,level
2004-02-01,970542.0,level
2004-03-01,1017163.0,level
2004-04-01,1054109.0,level
2004-05-01,1090911.0,level
2004-06-01,1147810.0,level
2004-07-01,1220688.0,level
2004-08-01,1231690.0,level
2004-09-01,1280031.0,level
2004-10-01,1329156.0,level
2004-11-01,1376670.0,level
2004-12-01,1532934.0,level
2005-01-01,1650115.0,level
2005-02-01,1564903.0,level
2005-03-01,1638876.0,level
2005-04-01,1746058.0,level
2005-05-01,1689293.0,level
2005-06-01,1779627.0,level
2005-07-01,1833320.0,level
2005-08-01,1866063.0,level
2005-09-01,1881296.0,level
2005-10-01,2015827.0,level
2005-11-01,2035676.0,level
2005-12-01,2012511.0,level
2006-01-01,2065348.0,level
2006-02-01,1999223.0,level
2006-03-01,2175908.0,level
2006-04-01,2332591.0,level
2006-05-01,2319429.0,level
2006-06-01,2513937.0,level
2006-07-01,2704125.0,level
2006-08-01,2813266.0,level
2006-09-01,2965144.0,level
2006-10-01,3053146.0,level
2006-11-01,3238079.0,level
2006-12-01,3387724.0,level
2007-01-01,3677561.0,level
2007-02-01,3608049.0,level
2007-03-01,3793972.0,level
2007-04-01,3935686.0,level
2007-05-01,3978254.0,level
2007-06-01,4231060.0,level
2007-07-01,4489209.0,level
2007-08-01,4617639.0,level
2007-09-01,4572106.0,level
2007-10-01,4478710.0,level
2007-11-01,4351803.0,level
2007-12-01,4520981.0,level
2008-01-01,4629829.0,level
2008-02-01,4596133.0,level
2008-03-01,4651452.0,level
2008-04-01,4815185.0,level
2008-05-01,4852705.0,level
2008-06-01,5108144.0,level
2008-07-01,5195154.0,level
2008-08-01,5418313.0,level
2008-09-01,5887672.0,level
2008-10-01,5885793.0,level
2008-11-01,5685066.0,level
2008-12-01,6017826.0,level
2009-01-01,6267201.0,level
2009-02-01,5970359.0,level
2009-03-01,6780765.0,level
2009-04-01,6688419.0,level
2009-05-01,6556048.0,level
2009-06-01,6587385.0,level
2009-07-01,6786278.0,level
2009-08-01,7091743.0,level
2009-09-01,7064482.0,level
2009-10-01,7254980.0,level
2009-11-01,7310697.0,level
2009-12-01,7094533.0,level
2010-01-01,7487306.0,level
2010-02-01,7496070.0,level
2010-03-01,7650126.0,level
2010-04-01,7758511.0,level
2010-05-01,8008973.0,level
2010-06-01,8050539.0,level
2010-07-01,8287944.0,level
2010-08-01,8402482.0,level
2010-09-01,8424651.0,level
2010-10-01,8411134.0,level
2010-11-01,8660047.0,level
2010-12-01,8526184.0,level
2011-01-01,8482828.0,level
2011-02-01,8608602.0,level
2011-03-01,8605665.0,level
2011-04-01,8923852.0,level
2011-05-01,9016130.0,level
2011-06-01,8968234.0,level
2011-07-01,9360212.0,level
2011-08-01,9741556.0,level
2011-09-01,9514333.0,level
2011-10-01,9820950.0,level
2011-11-01,9818461.0,level
2011-12-01,9607044.0,level
2012-01-01,9752236.0,level
2012-02-01,9622127.0,level
2012-03-01,9911587.0,level
2012-04-01,10293056.0,level
2012-05-01,10393216.0,level
2012-06-01,10334946.0,level
2012-07-01,10405602.0,level
2012-08-01,10582891.0,level
2012-09-01,10328235.0,level
2012-10-01,10514793.0,level
2012-11-01,10686225.0,level
2012-12-01,10465453.0,level
2013-01-01,10522812.0,level
2013-02-01,10495911.0,level
2013-03-01,10536193.0,level
2013-04-01,11078229.0,level
2013-05-01,11051547.0,level
2013-06-01,11318411.0,level
2013-07-01,11578872.0,level
2013-08-01,11681691.0,level
2013-09-01,11350572.0,level
2013-10-01,11558265.0,level
2013-11-01,11680146.0,level
