date,value,transformation
2024-02-01,600.0,level
2024-03-01,400.0,level
2024-04-01,450.0,level
2024-05-01,500.0,level
2024-06-01,500.0,level
2024-07-01,299.0,level
2024-08-01,250.0,level
2024-09-01,450.0,level
2024-10-01,570.0,level
2024-11-01,640.0,level
2024-12-01,635.0,level
2025-01-01,306.0,level
2025-02-01,550.0,level
2025-03-01,450.0,level
2025-04-01,450.0,level
2025-05-01,550.0,level
2025-06-01,620.0,level
2025-07-01,500.0,level
2025-08-01,355.0,level
2025-09-01,355.0,level
2025-10-01,355.0,level
2025-11-01,355.0,level
2025-12-01,355.0,level
2026-01-01,230.0,level
2026-02-01,230.0,level
2026-03-01,340.0,level
2026-04-01,270.0,level
2026-05-01,330.0,level
2026-06-01,460.0,level
2026-07-01,460.0,level
