date,value,transformation
1995-01-01,85.25942,level
1995-02-01,84.86247,level
1995-03-01,86.91429,level
1995-04-01,85.66514,level
1995-05-01,85.3805,level
1995-06-01,82.28259,level
1995-07-01,82.33874,level
1995-08-01,89.85248,level
1995-09-01,86.23751,level
1995-10-01,84.484,level
1995-11-01,82.85923,level
1995-12-01,83.72584,level
1996-01-01,84.02565,level
1996-02-01,83.96805,level
1996-03-01,85.10008,level
1996-04-01,85.30322,level
1996-05-01,85.40856,level
1996-06-01,85.87999,level
1996-07-01,86.10835,level
1996-08-01,86.81018,level
1996-09-01,86.58675,level
1996-10-01,86.23213,level
1996-11-01,85.55393,level
1996-12-01,84.12981,level
1997-01-01,82.1571,level
1997-02-01,83.14968,level
1997-03-01,84.60555,level
1997-04-01,85.48544,level
1997-05-01,84.97803,level
1997-06-01,85.30782,level
1997-07-01,86.13799,level
1997-08-01,87.06145,level
1997-09-01,87.27307,level
1997-10-01,87.52706,level
1997-11-01,87.88159,level
1997-12-01,89.56214,level
1998-01-01,98.37385,level
1998-02-01,98.53647,level
1998-03-01,98.99365,level
1998-04-01,99.49746,level
1998-05-01,99.35367,level
1998-06-01,99.82284,level
1998-07-01,99.72034,level
1998-08-01,109.69785,level
1998-09-01,155.76389,level
1998-10-01,156.43017,level
1998-11-01,159.26203,level
1998-12-01,172.41876,level
1999-01-01,188.81027,level
1999-02-01,189.89337,level
1999-03-01,192.24634,level
1999-04-01,156.37018,level
1999-05-01,143.66088,level
1999-06-01,130.74877,level
1999-07-01,130.38954,level
1999-08-01,131.83875,level
1999-09-01,129.50714,level
1999-10-01,125.26392,level
1999-11-01,130.68864,level
1999-12-01,135.01137,level
2000-01-01,148.45937,level
2000-02-01,150.50731,level
2000-03-01,149.1949,level
2000-04-01,149.55298,level
2000-05-01,152.45256,level
2000-06-01,149.0019,level
2000-07-01,148.57436,level
2000-08-01,150.50165,level
2000-09-01,152.79571,level
2000-10-01,154.11007,level
2000-11-01,153.1201,level
2000-12-01,150.20841,level
2001-01-01,150.59389,level
2001-02-01,152.51471,level
2001-03-01,154.17057,level
2001-04-01,156.34834,level
2001-05-01,156.6736,level
2001-06-01,158.00226,level
2001-07-01,157.86977,level
2001-08-01,155.52319,level
2001-09-01,154.5527,level
2001-10-01,155.065,level
2001-11-01,155.70989,level
2001-12-01,154.47283,level
2002-01-01,153.40404,level
2002-02-01,154.22774,level
2002-03-01,154.06877,level
2002-04-01,155.96974,level
2002-05-01,155.25576,level
2002-06-01,153.57288,level
