date,value,transformation
1995-01-01,81.28941,level
1995-02-01,80.99415,level
1995-03-01,83.16455,level
1995-04-01,82.1039,level
1995-05-01,81.80134,level
1995-06-01,78.70137,level
1995-07-01,78.70782,level
1995-08-01,85.7501,level
1995-09-01,82.33488,level
1995-10-01,80.71897,level
1995-11-01,79.17215,level
1995-12-01,80.01352,level
1996-01-01,80.29208,level
1996-02-01,80.25315,level
1996-03-01,81.34675,level
1996-04-01,81.5674,level
1996-05-01,81.71469,level
1996-06-01,82.24855,level
1996-07-01,82.55046,level
1996-08-01,83.29991,level
1996-09-01,83.13549,level
1996-10-01,82.82224,level
1996-11-01,82.25638,level
1996-12-01,80.8968,level
1997-01-01,79.88996,level
1997-02-01,81.03871,level
1997-03-01,82.42052,level
1997-04-01,83.32314,level
1997-05-01,82.84932,level
1997-06-01,83.18259,level
1997-07-01,84.05004,level
1997-08-01,84.9544,level
1997-09-01,85.22705,level
1997-10-01,85.54176,level
1997-11-01,86.01053,level
1997-12-01,87.74511,level
1998-01-01,96.77775,level
1998-02-01,96.89405,level
1998-03-01,97.32376,level
1998-04-01,97.88495,level
1998-05-01,97.74912,level
1998-06-01,98.27584,level
1998-07-01,98.11462,level
1998-08-01,108.28672,level
1998-09-01,154.98702,level
1998-10-01,155.52782,level
1998-11-01,158.37334,level
1998-12-01,172.02506,level
1999-01-01,189.01397,level
1999-02-01,190.30148,level
1999-03-01,192.8252,level
1999-04-01,156.97164,level
1999-05-01,144.31684,level
1999-06-01,131.36565,level
1999-07-01,130.91543,level
1999-08-01,132.18622,level
1999-09-01,129.99227,level
1999-10-01,125.85178,level
1999-11-01,131.11436,level
1999-12-01,135.42005,level
2000-01-01,148.15312,level
2000-02-01,150.20265,level
2000-03-01,148.94062,level
2000-04-01,149.38399,level
2000-05-01,152.33555,level
2000-06-01,148.63742,level
2000-07-01,148.2629,level
2000-08-01,150.20925,level
2000-09-01,152.44533,level
2000-10-01,153.8259,level
2000-11-01,152.79343,level
2000-12-01,150.04814,level
2001-01-01,151.27054,level
2001-02-01,153.2723,level
2001-03-01,155.14706,level
2001-04-01,157.54535,level
2001-05-01,157.74562,level
2001-06-01,159.08256,level
2001-07-01,159.04862,level
2001-08-01,156.80667,level
2001-09-01,155.96629,level
2001-10-01,156.57279,level
2001-11-01,157.19673,level
2001-12-01,155.94382,level
2002-01-01,153.73451,level
2002-02-01,154.53689,level
2002-03-01,154.44221,level
2002-04-01,157.1541,level
2002-05-01,156.83003,level
2002-06-01,155.31706,level
2002-07-01,152.92714,level
2002-08-01,153.39519,level
2002-09-01,153.30122,level
2002-10-01,153.78286,level
2002-11-01,152.22308,level
2002-12-01,150.14623,level
2003-01-01,148.66258,level
2003-02-01,149.86445,level
2003-03-01,151.37285,level
2003-04-01,150.20515,level
2003-05-01,147.46888,level
2003-06-01,148.1891,level
2003-07-01,151.1961,level
2003-08-01,152.29001,level
2003-09-01,150.97509,level
2003-10-01,148.2421,level
2003-11-01,148.70627,level
2003-12-01,147.80027,level
2004-01-01,150.2957,level
2004-02-01,151.67512,level
2004-03-01,153.11507,level
2004-04-01,155.51188,level
2004-05-01,157.80084,level
2004-06-01,157.88538,level
2004-07-01,158.18445,level
2004-08-01,158.25421,level
2004-09-01,159.2594,level
2004-10-01,160.30363,level
2004-11-01,159.85113,level
2004-12-01,157.4814,level
2005-01-01,158.72295,level
2005-02-01,158.75116,level
2005-03-01,156.84446,level
2005-04-01,157.41078,level
2005-05-01,158.39621,level
2005-06-01,158.30939,level
2005-07-01,157.33237,level
2005-08-01,155.97922,level
2005-09-01,156.86685,level
2005-10-01,158.86214,level
2005-11-01,159.99915,level
2005-12-01,159.97387,level
2006-01-01,158.83263,level
2006-02-01,161.4467,level
2006-03-01,163.8765,level
2006-04-01,164.62271,level
2006-05-01,166.87984,level
2006-06-01,171.94185,level
2006-07-01,173.68452,level
2006-08-01,165.43347,level
2006-09-01,161.50748,level
2006-10-01,160.29442,level
2006-11-01,158.09412,level
2006-12-01,156.1446,level
2007-01-01,160.84239,level
2007-02-01,161.5014,level
2007-03-01,161.1202,level
2007-04-01,161.84741,level
2007-05-01,163.83806,level
2007-06-01,162.14016,level
2007-07-01,159.38623,level
2007-08-01,156.13084,level
2007-09-01,158.11618,level
2007-10-01,157.12976,level
2007-11-01,154.4248,level
2007-12-01,155.09605,level
2008-01-01,154.70593,level
2008-02-01,154.47829,level
2008-03-01,149.80069,level
2008-04-01,148.85168,level
2008-05-01,149.48534,level
2008-06-01,148.85075,level
2008-07-01,147.63745,level
2008-08-01,152.50139,level
2008-09-01,157.90333,level
2008-10-01,166.32798,level
2008-11-01,171.729,level
2008-12-01,171.76621,level
2009-01-01,179.12804,level
2009-02-01,156.01625,level
2009-03-01,149.95516,level
2009-04-01,147.4055,level
2009-05-01,143.06375,level
2009-06-01,140.69244,level
2009-07-01,140.605,level
2009-08-01,140.31535,level
2009-09-01,138.27487,level
2009-10-01,135.51656,level
2009-11-01,135.30093,level
2009-12-01,138.82592,level
2010-01-01,140.4564,level
2010-02-01,142.8893,level
2010-03-01,143.07652,level
2010-04-01,143.13911,level
2010-05-01,148.36094,level
2010-06-01,149.97579,level
2010-07-01,146.13459,level
2010-08-01,145.27456,level
2010-09-01,144.83972,level
2010-10-01,141.15589,level
2010-11-01,142.93433,level
2010-12-01,144.18853,level
2011-01-01,142.94258,level
2011-02-01,141.43932,level
2011-03-01,139.84353,level
2011-04-01,138.10279,level
2011-05-01,138.43576,level
2011-06-01,138.64387,level
2011-07-01,138.49726,level
2011-08-01,138.9644,level
2011-09-01,143.38028,level
2011-10-01,144.43182,level
2011-11-01,144.66368,level
2011-12-01,146.86658,level
2012-01-01,145.81872,level
2012-02-01,142.43621,level
2012-03-01,142.59078,level
2012-04-01,142.85969,level
2012-05-01,146.30027,level
2012-06-01,149.03451,level
2012-07-01,148.45503,level
2012-08-01,147.36863,level
2012-09-01,144.82697,level
2012-10-01,143.42839,level
2012-11-01,144.0371,level
2012-12-01,142.35831,level
2013-01-01,141.21594,level
2013-02-01,141.73573,level
2013-03-01,143.50446,level
2013-04-01,143.75618,level
2013-05-01,144.01734,level
2013-06-01,144.74559,level
2013-07-01,146.00925,level
2013-08-01,145.6637,level
2013-09-01,144.60355,level
2013-10-01,142.26625,level
2013-11-01,144.39872,level
2013-12-01,143.48543,level
2014-01-01,144.42596,level
2014-02-01,129.66043,level
2014-03-01,126.90202,level
2014-04-01,127.95408,level
2014-05-01,126.74852,level
2014-06-01,125.88095,level
2014-07-01,126.29238,level
2014-08-01,130.33017,level
2014-09-01,133.7295,level
2014-10-01,138.06265,level
2014-11-01,146.24468,level
2014-12-01,156.21395,level
2015-01-01,164.29674,level
2015-02-01,169.18277,level
2015-03-01,166.88872,level
2015-04-01,159.68017,level
2015-05-01,155.67174,level
2015-06-01,159.72608,level
2015-07-01,162.93957,level
2015-08-01,153.35597,level
2015-09-01,122.92386,level
2015-10-01,114.45206,level
2015-11-01,106.64632,level
2015-12-01,102.45471,level
2016-01-01,94.96292,level
2016-02-01,96.67027,level
2016-03-01,96.69026,level
2016-04-01,96.59362,level
2016-05-01,97.82926,level
2016-06-01,96.55331,level
2016-07-01,95.5664,level
2016-08-01,94.79311,level
2016-09-01,96.41155,level
2016-10-01,98.24156,level
2016-11-01,98.32268,level
2016-12-01,100.0,level
2017-01-01,99.8769,level
2017-02-01,102.39061,level
2017-03-01,103.41524,level
2017-04-01,103.735,level
2017-05-01,102.77195,level
2017-06-01,101.15831,level
2017-07-01,99.30212,level
2017-08-01,96.20186,level
2017-09-01,95.26767,level
2017-10-01,96.88529,level
2017-11-01,99.14335,level
2017-12-01,98.2296,level
2018-01-01,98.39847,level
2018-02-01,99.28843,level
2018-03-01,99.81121,level
2018-04-01,100.63557,level
2018-05-01,102.06222,level
2018-06-01,100.4584,level
2018-07-01,99.17722,level
2018-08-01,98.65326,level
2018-09-01,96.93497,level
2018-10-01,96.48009,level
2018-11-01,95.90597,level
2018-12-01,95.77769,level
2019-01-01,93.63474,level
2019-02-01,93.48626,level
2019-03-01,92.91278,level
2019-04-01,92.61801,level
2019-05-01,93.27563,level
2019-06-01,92.14424,level
2019-07-01,91.3054,level
2019-08-01,92.8799,level
2019-09-01,92.7356,level
2019-10-01,91.78552,level
2019-11-01,91.64511,level
2019-12-01,91.82388,level
2020-01-01,93.04681,level
2020-02-01,95.18269,level
2020-03-01,90.74049,level
2020-04-01,89.31945,level
2020-05-01,91.40776,level
2020-06-01,92.70446,level
2020-07-01,90.97682,level
2020-08-01,89.90021,level
2020-09-01,89.64177,level
2020-10-01,89.20814,level
2020-11-01,88.68905,level
2020-12-01,88.43223,level
2021-01-01,88.41094,level
2021-02-01,88.81345,level
2021-03-01,89.12764,level
2021-04-01,87.77256,level
2021-05-01,87.0281,level
2021-06-01,86.73224,level
2021-07-01,87.93906,level
2021-08-01,88.12692,level
2021-09-01,87.85384,level
2021-10-01,87.49963,level
2021-11-01,87.52707,level
2021-12-01,87.7362,level
2022-01-01,89.93196,level
2022-02-01,90.52261,level
2022-03-01,89.9225,level
2022-04-01,90.16768,level
2022-05-01,89.27848,level
2022-06-01,82.75727,level
2022-07-01,79.12543,level
2022-08-01,80.48112,level
2022-09-01,81.29214,level
2022-10-01,83.59354,level
2022-11-01,83.92411,level
2022-12-01,84.54854,level
2023-01-01,86.68843,level
2023-02-01,90.91627,level
2023-03-01,92.35777,level
2023-04-01,94.0118,level
2023-05-01,94.96601,level
2023-06-01,97.33973,level
2023-07-01,101.24082,level
2023-08-01,102.08686,level
2023-09-01,99.70123,level
2023-10-01,99.08271,level
2023-11-01,98.8134,level
2023-12-01,99.60512,level
2024-01-01,101.41692,level
2024-02-01,103.03329,level
2024-03-01,103.42622,level
2024-04-01,105.23357,level
2024-05-01,105.17409,level
2024-06-01,100.96495,level
2024-07-01,96.62082,level
2024-08-01,95.87179,level
2024-09-01,95.9211,level
2024-10-01,97.0385,level
2024-11-01,97.51781,level
2024-12-01,94.57078,level
2025-01-01,92.34002,level
