date,value,transformation
2023-01-01,2040125.6701047705,level
2023-04-01,2525869.53737797,level
2023-07-01,2785123.14560335,level
2023-10-01,2519284.406741769,level
2024-01-01,3196843.25378077,level
2024-04-01,2341486.49127237,level
2024-07-01,1988659.90186612,level
2024-10-01,2056738.26499183,level
2025-01-01,2686122.33529701,level
2025-04-01,2715961.31077715,level
2025-07-01,2191881.54340663,level
2025-10-01,2183259.21688353,level
2026-01-01,3124331.15025174,level
2026-04-01,3322640.90321365,level
2026-07-01,3561250.22921959,level
