date,value,transformation
2023-01-01,1424130.9002021104,level
2023-04-01,1392572.15003751,level
2023-07-01,1295517.8423580404,level
2023-10-01,1331759.5420258304,level
2024-01-01,1266577.88041678,level
2024-04-01,1236537.39805054,level
2024-07-01,1576603.74641061,level
2024-10-01,1715025.51940712,level
2025-01-01,2066815.98593159,level
2025-04-01,1938594.54595177,level
2025-07-01,2284303.84106839,level
2025-10-01,2803262.38109364,level
2026-01-01,3246708.43870625,level
2026-04-01,3103690.73283081,level
2026-07-01,3308880.6861227,level
