date,value,transformation
2016-04-01,30.980392,level
2016-07-01,30.173944,level
2016-10-01,28.840014,level
2017-01-01,29.633545,level
2017-04-01,29.263158,level
2017-07-01,28.383067,level
2017-10-01,29.454171,level
2018-01-01,28.304451,level
2018-04-01,28.489741,level
2018-07-01,27.585079,level
2018-10-01,28.851091,level
2019-01-01,28.634921,level
2019-04-01,29.247649,level
2019-07-01,27.385763,level
2019-10-01,27.681874,level
2020-01-01,26.301286,level
2020-04-01,18.052109,level
2020-07-01,21.266134,level
2020-10-01,22.435897,level
2021-01-01,22.969273,level
2021-04-01,24.439733,level
2021-07-01,23.890063,level
2021-10-01,22.579675,level
2022-01-01,21.392139,level
2022-04-01,23.455309,level
2022-07-01,22.890485,level
2022-10-01,23.980815,level
2023-01-01,22.66508,level
2023-04-01,23.001486,level
2023-07-01,22.694825,level
2023-10-01,22.887637,level
2024-01-01,23.744832,level
2024-04-01,23.90791,level
2024-07-01,23.11085,level
2024-10-01,23.508874,level
2025-01-01,23.73078,level
2025-04-01,23.913043,level
2025-07-01,23.457863,level
2025-10-01,24.151811,level
2026-01-01,24.641011,level
2026-04-01,24.570447,level
2026-07-01,24.379812,level
