date,value,transformation
2020-01-01,167332.63,level
2020-02-01,192233.406,level
2020-03-01,195224.886,level
2020-04-01,159807.083,level
2020-05-01,223216.393,level
2020-06-01,254656.08,level
2020-07-01,269063.068,level
2020-08-01,307821.776,level
2020-09-01,322173.806,level
2020-10-01,344174.326,level
2020-11-01,342552.143,level
2020-12-01,397610.561,level
2021-01-01,356832.351,level
2021-02-01,387773.287,level
2021-03-01,454953.594,level
2021-04-01,461442.813,level
2021-05-01,532078.6,level
2021-06-01,570801.967,level
2021-07-01,588439.875,level
2021-08-01,613273.894,level
2021-09-01,626350.6,level
2021-10-01,651688.714,level
2021-11-01,632094.0,level
2021-12-01,666756.168,level
2022-01-01,456427.7,level
2022-02-01,600226.9,level
2022-03-01,680896.5,level
2022-04-01,669850.501,level
2022-05-01,739244.573,level
2022-06-01,768712.568,level
2022-07-01,782513.244,level
2022-08-01,810054.406,level
2022-09-01,810932.832,level
2022-10-01,831374.763,level
2022-11-01,810231.054,level
2022-12-01,880595.47,level
2023-01-01,759276.99,level
2023-02-01,792378.197,level
2023-03-01,916757.857,level
2023-04-01,904002.778,level
2023-05-01,1004729.185,level
2023-06-01,992664.666,level
2023-07-01,1016320.142,level
2023-08-01,1026883.069,level
2023-09-01,1016225.913,level
2023-10-01,1051302.603,level
2023-11-01,1018800.856,level
2023-12-01,1059626.693,level
2024-01-01,862332.543,level
2024-02-01,906619.369,level
2024-03-01,987029.561,level
2024-04-01,1054799.156,level
2024-05-01,1135401.433,level
2024-06-01,1143174.92,level
2024-07-01,1153973.9,level
2024-08-01,1175329.185,level
2024-09-01,1156350.766,level
2024-10-01,1194982.767,level
2024-11-01,1137817.459,level
2024-12-01,1195511.8,level
2025-01-01,1012714.956,level
2025-02-01,1027361.235,level
2025-03-01,1123765.835,level
2025-04-01,1202476.742,level
2025-05-01,1268099.872,level
2025-06-01,1212654.485,level
2025-07-01,1224981.836,level
2025-08-01,1244887.078,level
2026-04-01,1251023.8,level
2026-05-01,1303197.9,level
2026-06-01,1295122.451,level
