date,value,transformation
2020-01-01,188993.93,level
2020-02-01,221913.606,level
2020-03-01,223125.267,level
2020-04-01,179979.643,level
2020-05-01,247414.217,level
2020-06-01,281104.467,level
2020-07-01,296063.009,level
2020-08-01,336664.978,level
2020-09-01,353904.529,level
2020-10-01,375139.869,level
2020-11-01,372863.855,level
2020-12-01,433651.991,level
2021-01-01,382300.733,level
2021-02-01,418100.046,level
2021-03-01,485307.431,level
2021-04-01,493933.524,level
2021-05-01,562220.3,level
2021-06-01,601725.367,level
2021-07-01,618612.025,level
2021-08-01,633659.295,level
2021-09-01,653407.4,level
2021-10-01,683899.944,level
2021-11-01,667182.2,level
2021-12-01,714933.631,level
2022-01-01,489797.7,level
2022-02-01,642197.3,level
2022-03-01,725569.3,level
2022-04-01,713512.944,level
2022-05-01,784910.896,level
2022-06-01,813831.951,level
2022-07-01,814133.127,level
2022-08-01,863690.767,level
2022-09-01,861143.979,level
2022-10-01,895453.744,level
2022-11-01,865836.393,level
2022-12-01,930806.617,level
2023-01-01,794966.799,level
2023-02-01,832570.651,level
2023-03-01,952068.005,level
2023-04-01,1002431.465,level
2023-05-01,1121354.787,level
2023-06-01,1101551.621,level
2023-07-01,1131564.931,level
2023-08-01,1140293.326,level
2023-09-01,1116757.99,level
2023-10-01,1174252.77,level
2023-11-01,1136267.831,level
2023-12-01,1186354.273,level
2024-01-01,973927.071,level
2024-02-01,1024775.037,level
2024-03-01,1144994.727,level
2024-04-01,1254302.199,level
2024-05-01,1265422.653,level
2024-06-01,1267289.794,level
2024-07-01,1292290.914,level
2024-08-01,1311861.091,level
2024-09-01,1288576.489,level
2024-10-01,1322410.784,level
2024-11-01,1261461.073,level
2024-12-01,1340843.22,level
2025-01-01,1147093.408,level
2025-02-01,1159993.992,level
2025-03-01,1270029.302,level
2025-04-01,1348008.093,level
2025-05-01,1430510.533,level
2025-06-01,1365746.73,level
2025-07-01,1263406.798,level
2025-08-01,1285670.158,level
2026-04-01,1285568.553,level
2026-05-01,1336399.784,level
2026-06-01,1329091.035,level
