date,value,transformation
2005-04-01,73.549359,level
2005-07-01,78.437967,level
2005-10-01,77.740492,level
2006-01-01,74.683544,level
2006-04-01,75.798258,level
2006-07-01,77.275986,level
2006-10-01,78.236529,level
2007-01-01,74.65374,level
2007-04-01,72.5,level
2007-07-01,75.868984,level
2007-10-01,79.174853,level
2008-01-01,79.120521,level
2008-04-01,81.033376,level
2008-07-01,80.707196,level
2008-10-01,78.292243,level
2009-01-01,60.394265,level
2009-04-01,68.245206,level
2009-07-01,69.291987,level
2009-10-01,70.385819,level
2010-01-01,68.85657,level
2010-04-01,68.759268,level
2010-07-01,67.484367,level
2010-10-01,70.523609,level
2011-01-01,70.773837,level
2011-04-01,73.729195,level
2011-07-01,73.52811,level
2011-10-01,71.277942,level
2012-01-01,69.649562,level
2012-04-01,70.272502,level
2012-07-01,66.817063,level
2012-10-01,68.225612,level
2013-01-01,68.100358,level
2013-04-01,69.250392,level
2013-07-01,64.219653,level
2013-10-01,64.250661,level
2014-01-01,65.21658,level
2014-04-01,76.654275,level
2014-07-01,73.639706,level
2014-10-01,71.212121,level
2015-01-01,64.760014,level
2015-04-01,61.668465,level
2015-07-01,64.04354,level
2015-10-01,81.270011,level
2016-01-01,83.785714,level
2016-04-01,80.980392,level
2016-07-01,78.079517,level
2016-10-01,76.76481,level
2017-01-01,75.757576,level
2017-04-01,75.087719,level
2017-07-01,72.467037,level
2017-10-01,75.84964,level
2018-01-01,72.986748,level
2018-04-01,72.687521,level
2018-07-01,72.251309,level
2018-10-01,74.855584,level
2019-01-01,73.015873,level
2019-04-01,72.821317,level
2019-07-01,71.852658,level
2019-10-01,71.316276,level
2020-01-01,69.91733,level
2020-04-01,72.828784,level
2020-07-01,70.897357,level
2020-10-01,71.962759,level
2021-01-01,72.695467,level
2021-04-01,75.499697,level
2021-07-01,77.348233,level
2021-10-01,77.209862,level
2022-01-01,75.352535,level
2022-04-01,82.243551,level
2022-07-01,82.495512,level
2022-10-01,80.095923,level
2023-01-01,77.424152,level
2023-04-01,75.081724,level
2023-07-01,71.534801,level
2023-10-01,71.123629,level
2024-01-01,70.289427,level
2024-04-01,69.775679,level
2024-07-01,70.126433,level
2024-10-01,69.028222,level
2025-01-01,70.655643,level
2025-04-01,73.652174,level
2025-07-01,73.370982,level
2025-10-01,73.231742,level
2026-01-01,71.151637,level
2026-04-01,74.298396,level
2026-07-01,71.670944,level
