date,value,transformation
1995-01-01,114.71176,level
1995-02-01,113.4522,level
1995-03-01,115.3762,level
1995-04-01,111.72434,level
1995-05-01,108.90801,level
1995-06-01,103.236,level
1995-07-01,102.91816,level
1995-08-01,110.72172,level
1995-09-01,104.90649,level
1995-10-01,103.58445,level
1995-11-01,102.74443,level
1995-12-01,105.0006,level
1996-01-01,106.28486,level
1996-02-01,106.42672,level
1996-03-01,107.35662,level
1996-04-01,109.04021,level
1996-05-01,110.11155,level
1996-06-01,112.76031,level
1996-07-01,114.74778,level
1996-08-01,116.31095,level
1996-09-01,116.7812,level
1996-10-01,118.46087,level
1996-11-01,118.78584,level
1996-12-01,116.36949,level
1997-01-01,115.11114,level
1997-02-01,116.91106,level
1997-03-01,118.65522,level
1997-04-01,119.47434,level
1997-05-01,118.24661,level
1997-06-01,118.68502,level
1997-07-01,119.81722,level
1997-08-01,120.37024,level
1997-09-01,120.0651,level
1997-10-01,121.22423,level
1997-11-01,122.88041,level
1997-12-01,125.79015,level
1998-01-01,128.93105,level
1998-02-01,129.43546,level
1998-03-01,129.94714,level
1998-04-01,130.63549,level
1998-05-01,130.33658,level
1998-06-01,130.03244,level
1998-07-01,129.3248,level
1998-08-01,138.53498,level
1998-09-01,166.66872,level
1998-10-01,161.24712,level
1998-11-01,158.56976,level
1998-12-01,162.5845,level
1999-01-01,158.52197,level
1999-02-01,155.58043,level
1999-03-01,154.49752,level
1999-04-01,129.03406,level
1999-05-01,118.7217,level
1999-06-01,111.93846,level
1999-07-01,111.04149,level
1999-08-01,110.63617,level
1999-09-01,108.07973,level
1999-10-01,104.1162,level
1999-11-01,109.29147,level
1999-12-01,113.52453,level
2000-01-01,112.82821,level
2000-02-01,113.44157,level
2000-03-01,111.88025,level
2000-04-01,111.95561,level
2000-05-01,113.93163,level
2000-06-01,110.45085,level
2000-07-01,109.71083,level
2000-08-01,110.72575,level
2000-09-01,111.67744,level
2000-10-01,112.71571,level
2000-11-01,112.54547,level
2000-12-01,110.91099,level
2001-01-01,108.86465,level
2001-02-01,109.75706,level
2001-03-01,110.75386,level
2001-04-01,111.84107,level
2001-05-01,111.2725,level
2001-06-01,111.47017,level
2001-07-01,111.22017,level
2001-08-01,109.56684,level
2001-09-01,108.54262,level
2001-10-01,109.00442,level
2001-11-01,109.73996,level
2001-12-01,108.83224,level
2002-01-01,107.41999,level
2002-02-01,107.54046,level
2002-03-01,107.01486,level
2002-04-01,108.7037,level
2002-05-01,108.56488,level
2002-06-01,107.8943,level
2002-07-01,106.62862,level
2002-08-01,106.48772,level
2002-09-01,106.0012,level
2002-10-01,106.31678,level
2002-11-01,105.44192,level
2002-12-01,104.59436,level
2003-01-01,103.86365,level
2003-02-01,104.12819,level
2003-03-01,104.77495,level
2003-04-01,103.83446,level
2003-05-01,101.75519,level
2003-06-01,102.05072,level
2003-07-01,103.95434,level
2003-08-01,104.93463,level
2003-09-01,103.9712,level
2003-10-01,102.76924,level
2003-11-01,104.09009,level
2003-12-01,103.67775,level
2004-01-01,105.11797,level
2004-02-01,106.04309,level
2004-03-01,106.85934,level
2004-04-01,108.21588,level
2004-05-01,109.474,level
2004-06-01,109.55524,level
2004-07-01,109.66069,level
2004-08-01,109.7789,level
2004-09-01,110.85646,level
2004-10-01,111.92602,level
2004-11-01,112.06086,level
2004-12-01,110.85415,level
2005-01-01,111.12461,level
2005-02-01,110.81658,level
2005-03-01,109.39647,level
2005-04-01,109.78542,level
2005-05-01,110.75618,level
2005-06-01,111.00181,level
2005-07-01,110.69281,level
2005-08-01,109.87255,level
2005-09-01,110.91316,level
2005-10-01,112.94187,level
2005-11-01,114.14165,level
2005-12-01,114.59068,level
2006-01-01,112.55046,level
2006-02-01,115.0852,level
2006-03-01,117.39166,level
2006-04-01,118.01671,level
2006-05-01,120.18197,level
2006-06-01,124.04518,level
2006-07-01,125.22996,level
2006-08-01,119.3229,level
2006-09-01,116.78334,level
2006-10-01,116.38515,level
2006-11-01,115.20819,level
2006-12-01,114.04907,level
2007-01-01,116.46969,level
2007-02-01,117.05371,level
2007-03-01,117.09572,level
2007-04-01,117.71488,level
2007-05-01,119.48817,level
2007-06-01,118.57498,level
2007-07-01,117.053,level
2007-08-01,115.12824,level
2007-09-01,118.35573,level
2007-10-01,121.46982,level
2007-11-01,121.5024,level
2007-12-01,123.35501,level
2008-01-01,123.52018,level
2008-02-01,122.93378,level
2008-03-01,118.87553,level
2008-04-01,118.11072,level
2008-05-01,118.7828,level
2008-06-01,118.97086,level
2008-07-01,118.6964,level
2008-08-01,123.44778,level
2008-09-01,127.98567,level
2008-10-01,135.06635,level
2008-11-01,139.92484,level
2008-12-01,139.99243,level
2009-01-01,145.66179,level
2009-02-01,126.95362,level
2009-03-01,122.32735,level
2009-04-01,120.79498,level
2009-05-01,117.71797,level
2009-06-01,115.90046,level
2009-07-01,116.04702,level
2009-08-01,115.85717,level
2009-09-01,114.50363,level
2009-10-01,112.49043,level
2009-11-01,112.54056,level
2009-12-01,115.65188,level
2010-01-01,118.20278,level
2010-02-01,120.43102,level
2010-03-01,120.92104,level
2010-04-01,121.51446,level
2010-05-01,126.54585,level
2010-06-01,128.19237,level
2010-07-01,124.97289,level
2010-08-01,123.65786,level
2010-09-01,123.1459,level
2010-10-01,120.45336,level
2010-11-01,122.30164,level
2010-12-01,123.40984,level
2011-01-01,123.2645,level
2011-02-01,122.7814,level
2011-03-01,121.23603,level
2011-04-01,119.70698,level
2011-05-01,119.94828,level
2011-06-01,120.23574,level
2011-07-01,120.67686,level
2011-08-01,121.22563,level
2011-09-01,124.97344,level
2011-10-01,125.59045,level
2011-11-01,126.15152,level
2011-12-01,128.03208,level
2012-01-01,127.36841,level
2012-02-01,124.44079,level
2012-03-01,124.28819,level
2012-04-01,125.03027,level
2012-05-01,128.75118,level
2012-06-01,131.40703,level
2012-07-01,130.731,level
2012-08-01,129.71693,level
2012-09-01,127.648,level
2012-10-01,126.81606,level
2012-11-01,127.9671,level
2012-12-01,126.67058,level
2013-01-01,125.87676,level
2013-02-01,126.55112,level
2013-03-01,128.17671,level
2013-04-01,128.46234,level
2013-05-01,128.68773,level
2013-06-01,129.40483,level
2013-07-01,130.36235,level
2013-08-01,130.11194,level
2013-09-01,128.9827,level
2013-10-01,126.87803,level
2013-11-01,129.14397,level
2013-12-01,128.74424,level
2014-01-01,129.99484,level
2014-02-01,118.0751,level
2014-03-01,116.04674,level
2014-04-01,116.98768,level
2014-05-01,115.86051,level
2014-06-01,115.05185,level
2014-07-01,115.30923,level
2014-08-01,119.2194,level
2014-09-01,122.27511,level
2014-10-01,126.102,level
2014-11-01,133.7705,level
2014-12-01,142.1196,level
2015-01-01,148.06823,level
2015-02-01,150.94753,level
2015-03-01,147.43096,level
2015-04-01,139.74454,level
2015-05-01,136.19358,level
2015-06-01,139.48696,level
2015-07-01,142.08778,level
2015-08-01,133.91666,level
2015-09-01,108.00947,level
2015-10-01,105.60765,level
2015-11-01,101.7097,level
2015-12-01,98.46325,level
2016-01-01,92.06076,level
2016-02-01,94.17712,level
2016-03-01,94.42415,level
2016-04-01,94.26454,level
2016-05-01,95.77799,level
2016-06-01,94.81481,level
2016-07-01,94.11188,level
2016-08-01,93.52151,level
2016-09-01,94.98148,level
2016-10-01,96.8835,level
2016-11-01,97.8315,level
2016-12-01,100.0,level
2017-01-01,100.07146,level
2017-02-01,103.26814,level
2017-03-01,104.55907,level
2017-04-01,104.96218,level
2017-05-01,104.25058,level
2017-06-01,102.80908,level
2017-07-01,100.94666,level
2017-08-01,97.85233,level
2017-09-01,96.93964,level
2017-10-01,99.43502,level
2017-11-01,102.3387,level
2017-12-01,101.58201,level
2018-01-01,102.14273,level
2018-02-01,103.21521,level
2018-03-01,104.22945,level
2018-04-01,105.17017,level
2018-05-01,106.53066,level
2018-06-01,104.72141,level
2018-07-01,103.29038,level
2018-08-01,102.51982,level
2018-09-01,100.46228,level
2018-10-01,99.90227,level
2018-11-01,100.04499,level
2018-12-01,100.18871,level
2019-01-01,98.41496,level
2019-02-01,97.96341,level
2019-03-01,97.64283,level
2019-04-01,97.41426,level
2019-05-01,98.38846,level
2019-06-01,97.41798,level
2019-07-01,96.5147,level
2019-08-01,98.11664,level
2019-09-01,98.01105,level
2019-10-01,97.15433,level
2019-11-01,97.48142,level
2019-12-01,98.03545,level
2020-01-01,99.36093,level
2020-02-01,101.90085,level
2020-03-01,97.98063,level
2020-04-01,97.04247,level
2020-05-01,99.86492,level
2020-06-01,101.56492,level
2020-07-01,99.89711,level
2020-08-01,98.50649,level
2020-09-01,98.36196,level
2020-10-01,98.18348,level
2020-11-01,98.2124,level
2020-12-01,98.15123,level
2021-01-01,98.17197,level
2021-02-01,98.6397,level
2021-03-01,99.22384,level
2021-04-01,98.16236,level
2021-05-01,97.60738,level
2021-06-01,98.06247,level
2021-07-01,99.76464,level
2021-08-01,100.21471,level
2021-09-01,99.89703,level
