date,value,transformation
2021-09-01,5571.35933476,level
2021-10-01,5857.10797452,level
2021-11-01,5084.67166266,level
2021-12-01,7228.53167229,level
2022-01-01,3394.3982902,level
2022-02-01,3462.43920256,level
2022-03-01,4486.05744728,level
2022-04-01,8713.61985846,level
2022-05-01,14194.89113365,level
2022-06-01,15181.31978941,level
2022-07-01,25995.12395873,level
2022-08-01,18315.05200077,level
2022-09-01,19131.94428865,level
2022-10-01,23011.10147132,level
2022-11-01,11807.56234695,level
2022-12-01,10797.44889426,level
2023-01-01,6943.27170611,level
2023-02-01,6146.60387099,level
2023-03-01,8681.5381656,level
2023-04-01,7504.25840793,level
2023-05-01,8798.58026063,level
2023-06-01,8295.80480101,level
2023-07-01,5932.54110478,level
2023-08-01,5765.17769821,level
2023-09-01,5737.25690449,level
2023-10-01,5831.09111035,level
2023-11-01,5512.75799417,level
2023-12-01,7592.09614976,level
2024-01-01,6683.70656749,level
2024-02-01,4775.88391332,level
2024-03-01,5273.74870714,level
2024-04-01,5116.847621,level
2024-05-01,5324.73312685,level
2024-06-01,4317.70394761,level
2024-07-01,3946.3212982,level
2024-08-01,3734.70117519,level
2024-09-01,3203.33395675,level
2024-10-01,3035.61244324,level
2024-11-01,2740.94698302,level
2024-12-01,3081.44974071,level
2025-01-01,2531.59900529,level
2025-02-01,2779.27288757,level
2025-03-01,3392.57268031,level
2025-04-01,3764.48108093,level
2025-05-01,3747.96457056,level
2025-06-01,3830.63840037,level
2025-07-01,4273.70823776,level
2025-08-01,4088.08724962,level
2025-09-01,3970.8378155,level
2025-10-01,4017.00319687,level
2025-11-01,3203.96663894,level
2025-12-01,3852.6610648,level
2026-01-01,2729.17615576,level
2026-02-01,3156.23218992,level
2026-03-01,3317.89072582,level
2026-04-01,3610.92673259,level
2026-05-01,3980.16250365,level
2026-06-01,4856.91585348,level
