date,value,transformation
2021-09-01,1691.97740994,level
2021-10-01,1500.04929893,level
2021-11-01,1418.57487297,level
2021-12-01,1743.38269675,level
2022-01-01,834.67709836,level
2022-02-01,1181.43375686,level
2022-03-01,2851.80089685,level
2022-04-01,3076.33636768,level
2022-05-01,3086.8859664,level
2022-06-01,3910.01779679,level
2022-07-01,4485.05138258,level
2022-08-01,3796.79748196,level
2022-09-01,3875.398110404,level
2022-10-01,5112.60050902,level
2022-11-01,7606.10707027,level
2022-12-01,5609.97626579,level
2023-01-01,3784.86282401,level
2023-02-01,4265.02739277,level
2023-03-01,3918.085761,level
2023-04-01,3826.98440871,level
2023-05-01,3061.49155744,level
2023-06-01,3674.59054227,level
2023-07-01,3410.18637352,level
2023-08-01,3471.80973188,level
2023-09-01,3166.04608778,level
2023-10-01,2815.01868624,level
2023-11-01,2852.86779062,level
2023-12-01,3403.79375234,level
2024-01-01,2125.82165871,level
2024-02-01,2582.34337837,level
2024-03-01,2134.47667259,level
2024-04-01,2748.38993356,level
2024-05-01,2533.6081703,level
2024-06-01,2544.31700488,level
2024-07-01,3064.68635253,level
2024-08-01,2680.15918079,level
2024-09-01,2519.10165074,level
2024-10-01,2539.40498733,level
2024-11-01,2656.76099936,level
2024-12-01,2861.5879924,level
2025-01-01,2075.99083983,level
2025-02-01,2360.61319686,level
2025-03-01,2579.19920231,level
2025-04-01,3251.63386685,level
2025-05-01,2948.17659004,level
2025-06-01,2824.62813039,level
2025-07-01,3360.60886039,level
2025-08-01,3146.36887571,level
2025-09-01,3149.99960588,level
2025-10-01,3220.73881133,level
2025-11-01,2750.55276599,level
2025-12-01,3575.45734898,level
2026-01-01,2304.21036703,level
2026-02-01,2505.86735311,level
2026-03-01,2399.15677981,level
2026-04-01,2387.17914112,level
2026-05-01,1672.82948582,level
2026-06-01,1706.02133265,level
