date,value,transformation
2021-09-01,97265.79009194,level
2021-10-01,93486.61029249,level
2021-11-01,87047.89202394,level
2021-12-01,88423.25061544,level
2022-01-01,45608.94774816,level
2022-02-01,62763.54499673,level
2022-03-01,81120.43649446,level
2022-04-01,103563.80431846,level
2022-05-01,98361.294688306,level
2022-06-01,104378.20840696,level
2022-07-01,86747.37221813,level
2022-08-01,103249.68209565,level
2022-09-01,93967.53495836,level
2022-10-01,89324.60107535,level
2022-11-01,90835.102049036,level
2022-12-01,74596.40557989,level
2023-01-01,49174.65081019,level
2023-02-01,59544.13816239,level
2023-03-01,74161.95870891,level
2023-04-01,76556.80289032,level
2023-05-01,90248.7620732,level
2023-06-01,87798.65888644,level
2023-07-01,88804.51659105,level
2023-08-01,99054.860802557,level
2023-09-01,93217.5520307,level
2023-10-01,89636.710716899,level
2023-11-01,81252.23102924,level
2023-12-01,79826.77450172,level
2024-01-01,52480.93746954,level
2024-02-01,58913.35848472,level
2024-03-01,59265.15085536,level
2024-04-01,65855.31166946,level
2024-05-01,73852.75716502,level
2024-06-01,73024.65647627,level
2024-07-01,81915.56202099,level
2024-08-01,77262.21488625,level
2024-09-01,63784.346106231,level
2024-10-01,64809.14693075,level
2024-11-01,60602.63071371,level
2024-12-01,56813.43594721,level
2025-01-01,40748.10760782,level
2025-02-01,45008.2050012,level
2025-03-01,47328.856735897,level
2025-04-01,57434.871770097,level
2025-05-01,65933.3754131,level
2025-06-01,64712.184057815,level
2025-07-01,70447.506300936,level
2025-08-01,72705.211344807,level
2025-09-01,71570.869920804,level
2025-10-01,68092.222434033,level
2025-11-01,55540.770486322,level
2025-12-01,59381.688402189,level
2026-01-01,37885.147253329,level
2026-02-01,42243.33153742,level
2026-03-01,49355.088812281,level
2026-04-01,54935.409232604,level
2026-05-01,53534.625921444,level
2026-06-01,65182.523811301,level
