date,value,transformation
2021-09-01,8396.31725888,level
2021-10-01,6093.2091613,level
2021-11-01,5407.7607694,level
2021-12-01,7535.75044157,level
2022-01-01,2616.94285723,level
2022-02-01,4287.82910448,level
2022-03-01,5095.81663903,level
2022-04-01,9390.57069132,level
2022-05-01,14339.6470739,level
2022-06-01,13597.55890139,level
2022-07-01,24396.72373385,level
2022-08-01,21916.74338212,level
2022-09-01,21032.91422529,level
2022-10-01,17497.44507619,level
2022-11-01,14651.39193255,level
2022-12-01,14712.28719689,level
2023-01-01,12141.77927482,level
2023-02-01,16419.79560794,level
2023-03-01,23291.88996862,level
2023-04-01,25541.41056819,level
2023-05-01,25008.83382841,level
2023-06-01,25578.31769807,level
2023-07-01,27853.41551175,level
2023-08-01,28635.87321688,level
2023-09-01,26553.34549417,level
2023-10-01,24794.7673502,level
2023-11-01,21959.96414488,level
2023-12-01,24514.92374252,level
2024-01-01,15435.85217825,level
2024-02-01,18524.29537011,level
2024-03-01,21758.56393122,level
2024-04-01,23739.71928099,level
2024-05-01,26259.87797083,level
2024-06-01,23657.8241493,level
2024-07-01,28897.23153114,level
2024-08-01,26352.06521836,level
2024-09-01,13392.66923827,level
2024-10-01,19824.20897737,level
2024-11-01,22995.6280263,level
2024-12-01,22808.89157774,level
2025-01-01,15782.59978872,level
2025-02-01,18456.53124174,level
2025-03-01,23194.76626909,level
2025-04-01,30495.49300394,level
2025-05-01,37698.38074282,level
2025-06-01,39565.66423237,level
2025-07-01,42659.98585331,level
2025-08-01,41109.5773309501,level
2025-09-01,39907.0227472,level
2025-10-01,39013.46050707,level
2025-11-01,31683.5306919,level
2025-12-01,33528.11665901,level
2026-01-01,21389.23685605,level
2026-02-01,24940.33418473,level
2026-03-01,29952.71035616,level
2026-04-01,32483.96124108,level
2026-05-01,32120.02523374,level
2026-06-01,38066.98447675,level
