date,value,transformation
2021-09-01,8753.78728317,level
2021-10-01,9367.74998046,level
2021-11-01,8778.41045152,level
2021-12-01,9105.12915053,level
2022-01-01,4915.17819548,level
2022-02-01,4921.3584205,level
2022-03-01,8394.11491677,level
2022-04-01,14209.19187954,level
2022-05-01,14401.0687882,level
2022-06-01,20822.98247047,level
2022-07-01,11485.89842313,level
2022-08-01,10347.19749024,level
2022-09-01,12345.80175594,level
2022-10-01,12311.31899044,level
2022-11-01,14000.54541222,level
2022-12-01,12272.84606747,level
2023-01-01,5444.04381183,level
2023-02-01,4779.50676526,level
2023-03-01,6203.18378638,level
2023-04-01,7041.49971766,level
2023-05-01,6959.80605006,level
2023-06-01,6370.20703615,level
2023-07-01,6278.62704787,level
2023-08-01,7235.96797148,level
2023-09-01,7407.80187109,level
2023-10-01,7468.73668946,level
2023-11-01,9685.65519422,level
2023-12-01,9371.51375135,level
2024-01-01,6479.66074812,level
2024-02-01,6816.38337509,level
2024-03-01,6627.34884936,level
2024-04-01,6893.38084434,level
2024-05-01,6731.08756179,level
2024-06-01,6415.04816917,level
2024-07-01,7071.3792022,level
2024-08-01,6636.72616038,level
2024-09-01,6661.93739726,level
2024-10-01,6368.87456379,level
2024-11-01,5688.25742128,level
2024-12-01,5897.64322529,level
2025-01-01,4714.01638201,level
2025-02-01,5327.15770242,level
2025-03-01,5103.06103454,level
2025-04-01,5995.86685651,level
2025-05-01,6512.71885902,level
2025-06-01,6202.43059267,level
2025-07-01,6761.39806816,level
2025-08-01,6628.10227874,level
2025-09-01,6770.48719008,level
2025-10-01,6738.67985107,level
2025-11-01,6550.45704167,level
2025-12-01,7171.03654189,level
2026-01-01,4511.95180963,level
2026-02-01,4985.59874671,level
2026-03-01,5330.36162228,level
2026-04-01,5485.15790654,level
2026-05-01,5586.75857749,level
2026-06-01,7022.95771939,level
