date,value,transformation
1995-01-01,74.95687,level
1995-02-01,74.18531,level
1995-03-01,72.63932,level
1995-04-01,70.46207,level
1995-05-01,72.37401,level
1995-06-01,72.95832,level
1995-07-01,75.86379,level
1995-08-01,86.79048,level
1995-09-01,84.84419,level
1995-10-01,84.0845,level
1995-11-01,85.04844,level
1995-12-01,88.56911,level
1996-01-01,91.94891,level
1996-02-01,92.98203,level
1996-03-01,94.98102,level
1996-04-01,97.76982,level
1996-05-01,99.41935,level
1996-06-01,101.0906,level
1996-07-01,100.91526,level
1996-08-01,100.05323,level
1996-09-01,100.44732,level
1996-10-01,102.81315,level
1996-11-01,102.4239,level
1996-12-01,102.19872,level
1997-01-01,104.12622,level
1997-02-01,110.51843,level
1997-03-01,113.53114,level
1997-04-01,115.68269,level
1997-05-01,114.51721,level
1997-06-01,116.92607,level
1997-07-01,121.56802,level
1997-08-01,124.03828,level
1997-09-01,120.27321,level
1997-10-01,119.6111,level
1997-11-01,119.37193,level
1997-12-01,123.86051,level
1998-01-01,128.16187,level
1998-02-01,129.04492,level
1998-03-01,130.57686,level
1998-04-01,129.86555,level
1998-05-01,126.88782,level
1998-06-01,126.77255,level
1998-07-01,126.14265,level
1998-08-01,122.79635,level
1998-09-01,114.31862,level
1998-10-01,107.43977,level
1998-11-01,108.74845,level
1998-12-01,107.02839,level
1999-01-01,107.58367,level
1999-02-01,109.8615,level
1999-03-01,110.04886,level
1999-04-01,91.94222,level
1999-05-01,87.09819,level
1999-06-01,84.74708,level
1999-07-01,85.3377,level
1999-08-01,83.3679,level
1999-09-01,81.84334,level
1999-10-01,78.13879,level
1999-11-01,83.50667,level
1999-12-01,86.89116,level
2000-01-01,88.29927,level
2000-02-01,90.29301,level
2000-03-01,90.73062,level
2000-04-01,92.29699,level
2000-05-01,96.86207,level
2000-06-01,92.41407,level
2000-07-01,93.55266,level
2000-08-01,97.45799,level
2000-09-01,101.22218,level
2000-10-01,104.58277,level
2000-11-01,104.85683,level
2000-12-01,99.85252,level
2001-01-01,96.93332,level
2001-02-01,99.06677,level
2001-03-01,100.43075,level
2001-04-01,102.4168,level
2001-05-01,103.93173,level
2001-06-01,106.209,level
2001-07-01,105.23583,level
2001-08-01,100.34817,level
2001-09-01,98.77858,level
2001-10-01,99.71367,level
2001-11-01,102.32632,level
2001-12-01,101.31686,level
2002-01-01,101.90582,level
2002-02-01,103.20264,level
2002-03-01,101.93894,level
2002-04-01,100.56207,level
2002-05-01,97.74534,level
2002-06-01,94.14912,level
2002-07-01,90.88716,level
2002-08-01,91.62786,level
2002-09-01,91.07196,level
2002-10-01,91.42442,level
2002-11-01,90.50566,level
2002-12-01,88.99781,level
2003-01-01,86.54435,level
2003-02-01,86.47487,level
2003-03-01,86.95928,level
2003-04-01,86.50188,level
2003-05-01,81.87549,level
2003-06-01,82.27179,level
2003-07-01,85.63987,level
2003-08-01,87.42814,level
2003-09-01,86.0264,level
2003-10-01,83.63223,level
2003-11-01,85.37283,level
2003-12-01,82.97118,level
2004-01-01,83.77795,level
2004-02-01,85.07659,level
2004-03-01,87.47583,level
2004-04-01,89.91782,level
2004-05-01,90.37289,level
2004-06-01,90.10374,level
2004-07-01,90.05292,level
2004-08-01,90.40109,level
2004-09-01,91.42417,level
2004-10-01,91.41308,level
2004-11-01,90.4094,level
2004-12-01,88.68942,level
2005-01-01,91.72353,level
2005-02-01,92.56452,level
2005-03-01,90.84889,level
2005-04-01,92.30901,level
2005-05-01,94.50725,level
2005-06-01,96.95025,level
2005-07-01,97.25449,level
2005-08-01,95.35789,level
2005-09-01,96.8701,level
2005-10-01,99.75248,level
2005-11-01,102.39321,level
2005-12-01,102.53569,level
2006-01-01,102.33291,level
2006-02-01,106.56469,level
2006-03-01,108.20466,level
2006-04-01,107.5156,level
2006-05-01,107.35023,level
2006-06-01,111.16817,level
2006-07-01,112.66744,level
2006-08-01,107.14602,level
2006-09-01,105.6448,level
2006-10-01,106.08318,level
2006-11-01,104.45024,level
2006-12-01,102.50714,level
2007-01-01,107.59716,level
2007-02-01,108.44849,level
2007-03-01,107.67432,level
2007-04-01,107.05918,level
2007-05-01,109.02996,level
2007-06-01,109.18986,level
2007-07-01,107.7823,level
2007-08-01,106.56305,level
2007-09-01,109.11354,level
2007-10-01,111.83717,level
2007-11-01,110.904,level
2007-12-01,113.46567,level
2008-01-01,114.21383,level
2008-02-01,114.49625,level
2008-03-01,108.15735,level
2008-04-01,107.29385,level
2008-05-01,109.02766,level
2008-06-01,109.7583,level
2008-07-01,109.8729,level
2008-08-01,117.13689,level
2008-09-01,122.89244,level
2008-10-01,133.47057,level
2008-11-01,140.01137,level
2008-12-01,131.90255,level
2009-01-01,135.15533,level
2009-02-01,116.20692,level
2009-03-01,111.45617,level
2009-04-01,110.67622,level
2009-05-01,107.8828,level
2009-06-01,105.37569,level
2009-07-01,105.63728,level
2009-08-01,104.04625,level
2009-09-01,102.22715,level
2009-10-01,100.67355,level
2009-11-01,101.12865,level
2009-12-01,104.5399,level
2010-01-01,109.55222,level
2010-02-01,115.19801,level
2010-03-01,116.2135,level
2010-04-01,118.14858,level
2010-05-01,127.17435,level
2010-06-01,130.34539,level
2010-07-01,124.92815,level
2010-08-01,123.84073,level
2010-09-01,122.33221,level
2010-10-01,115.72785,level
2010-11-01,118.82542,level
2010-12-01,122.84101,level
2011-01-01,124.75741,level
2011-02-01,123.95806,level
2011-03-01,120.22133,level
2011-04-01,116.74893,level
2011-05-01,118.28066,level
2011-06-01,117.88799,level
2011-07-01,120.03887,level
2011-08-01,119.2833,level
2011-09-01,123.03317,level
2011-10-01,122.65718,level
2011-11-01,124.88069,level
2011-12-01,128.54393,level
2012-01-01,132.24115,level
2012-02-01,128.85585,level
2012-03-01,128.18442,level
2012-04-01,128.98749,level
2012-05-01,133.67375,level
2012-06-01,135.95927,level
2012-07-01,139.10371,level
2012-08-01,137.89706,level
2012-09-01,132.52595,level
2012-10-01,131.45507,level
2012-11-01,134.07243,level
2012-12-01,131.43597,level
2013-01-01,132.02509,level
2013-02-01,132.31036,level
2013-03-01,134.70058,level
2013-04-01,134.30889,level
2013-05-01,134.90694,level
2013-06-01,132.69888,level
2013-07-01,133.68286,level
2013-08-01,131.17274,level
2013-09-01,130.12756,level
2013-10-01,127.3194,level
2013-11-01,129.98717,level
2013-12-01,127.81585,level
2014-01-01,130.1015,level
2014-02-01,115.84415,level
2014-03-01,110.54077,level
2014-04-01,111.32872,level
2014-05-01,112.43378,level
2014-06-01,113.21311,level
2014-07-01,114.56604,level
2014-08-01,117.71668,level
2014-09-01,121.66489,level
2014-10-01,124.69572,level
2014-11-01,127.99917,level
2014-12-01,129.52003,level
2015-01-01,139.04833,level
2015-02-01,141.03983,level
2015-03-01,146.15691,level
2015-04-01,145.51803,level
2015-05-01,141.00964,level
2015-06-01,139.99402,level
2015-07-01,143.12016,level
2015-08-01,127.42174,level
2015-09-01,101.15287,level
2015-10-01,100.81168,level
2015-11-01,99.97933,level
2015-12-01,93.15036,level
2016-01-01,85.61531,level
2016-02-01,86.06856,level
2016-03-01,88.29319,level
2016-04-01,88.86689,level
2016-05-01,90.29993,level
2016-06-01,90.13551,level
2016-07-01,91.06488,level
2016-08-01,89.41287,level
2016-09-01,90.69908,level
2016-10-01,94.35994,level
2016-11-01,95.8149,level
2016-12-01,100.0,level
2017-01-01,101.73574,level
2017-02-01,105.82467,level
2017-03-01,106.19149,level
2017-04-01,107.08639,level
2017-05-01,103.8493,level
2017-06-01,100.92177,level
2017-07-01,96.80016,level
2017-08-01,92.19786,level
2017-09-01,89.68818,level
2017-10-01,92.63109,level
2017-11-01,95.0309,level
2017-12-01,94.14487,level
2018-01-01,94.68321,level
2018-02-01,95.4717,level
2018-03-01,95.35486,level
2018-04-01,94.38284,level
2018-05-01,96.77925,level
2018-06-01,95.46952,level
2018-07-01,93.6468,level
2018-08-01,91.14002,level
2018-09-01,87.91416,level
2018-10-01,89.45813,level
2018-11-01,90.85813,level
2018-12-01,90.98894,level
2019-01-01,90.58976,level
2019-02-01,91.53886,level
2019-03-01,91.2046,level
2019-04-01,91.2059,level
2019-05-01,91.84177,level
2019-06-01,90.51251,level
2019-07-01,91.32009,level
2019-08-01,91.43697,level
2019-09-01,92.40294,level
2019-10-01,91.92221,level
2019-11-01,93.32645,level
2019-12-01,94.04087,level
2020-01-01,96.95179,level
2020-02-01,99.46761,level
2020-03-01,88.73667,level
2020-04-01,87.89385,level
2020-05-01,91.23887,level
2020-06-01,91.93785,level
2020-07-01,88.55122,level
2020-08-01,84.98403,level
2020-09-01,84.37774,level
2020-10-01,83.99438,level
2020-11-01,84.78063,level
2020-12-01,84.43123,level
2021-01-01,84.85207,level
2021-02-01,86.167,level
2021-03-01,86.8325,level
2021-04-01,84.65007,level
2021-05-01,84.25482,level
2021-06-01,85.73537,level
2021-07-01,88.10986,level
