date,value,transformation
1995-01-01,150.61394,level
1995-02-01,150.13808,level
1995-03-01,156.71655,level
1995-04-01,152.7128,level
1995-05-01,144.99228,level
1995-06-01,129.51846,level
1995-07-01,123.84091,level
1995-08-01,128.6267,level
1995-09-01,120.85602,level
1995-10-01,117.98905,level
1995-11-01,115.25728,level
1995-12-01,117.3953,level
1996-01-01,118.0702,level
1996-02-01,118.13548,level
1996-03-01,118.94576,level
1996-04-01,120.66362,level
1996-05-01,121.2142,level
1996-06-01,123.89706,level
1996-07-01,126.83478,level
1996-08-01,131.09325,level
1996-09-01,132.02081,level
1996-10-01,133.41505,level
1996-11-01,132.9823,level
1996-12-01,129.77514,level
1997-01-01,127.23409,level
1997-02-01,128.19029,level
1997-03-01,129.65832,level
1997-04-01,130.32178,level
1997-05-01,129.07528,level
1997-06-01,128.93306,level
1997-07-01,129.09928,level
1997-08-01,129.38307,level
1997-09-01,130.42288,level
1997-10-01,132.04888,level
1997-11-01,133.94532,level
1997-12-01,134.69663,level
1998-01-01,136.01474,level
1998-02-01,137.00745,level
1998-03-01,137.16413,level
1998-04-01,138.56621,level
1998-05-01,138.38313,level
1998-06-01,138.11962,level
1998-07-01,137.5326,level
1998-08-01,158.84108,level
1998-09-01,233.12661,level
1998-10-01,226.26859,level
1998-11-01,221.51576,level
1998-12-01,238.16207,level
1999-01-01,239.21287,level
1999-02-01,228.73629,level
1999-03-01,227.53299,level
1999-04-01,191.63956,level
1999-05-01,171.29689,level
1999-06-01,158.14891,level
1999-07-01,154.23574,level
1999-08-01,155.4054,level
1999-09-01,153.38106,level
1999-10-01,148.66534,level
1999-11-01,154.79632,level
1999-12-01,159.82402,level
2000-01-01,166.96017,level
2000-02-01,167.31116,level
2000-03-01,163.06503,level
2000-04-01,161.89798,level
2000-05-01,158.57562,level
2000-06-01,154.72481,level
2000-07-01,150.15938,level
2000-08-01,148.69063,level
2000-09-01,147.8521,level
2000-10-01,146.9908,level
2000-11-01,145.4815,level
2000-12-01,145.0459,level
2001-01-01,144.01125,level
2001-02-01,142.80047,level
2001-03-01,141.40212,level
2001-04-01,140.72225,level
2001-05-01,139.02413,level
2001-06-01,136.9205,level
2001-07-01,136.51194,level
2001-08-01,136.6921,level
2001-09-01,136.00296,level
2001-10-01,135.72534,level
2001-11-01,135.84733,level
2001-12-01,134.93477,level
2002-01-01,132.34421,level
2002-02-01,131.98584,level
2002-03-01,131.6684,level
2002-04-01,130.86677,level
2002-05-01,129.89665,level
2002-06-01,130.44101,level
2002-07-01,130.0661,level
2002-08-01,129.36716,level
2002-09-01,129.07052,level
2002-10-01,128.83105,level
2002-11-01,128.41154,level
2002-12-01,127.38197,level
