date,value,transformation
1995-01-01,98.07298,level
1995-02-01,98.47018,level
1995-03-01,100.0054,level
1995-04-01,98.5078,level
1995-05-01,100.14004,level
1995-06-01,101.98625,level
1995-07-01,107.3768,level
1995-08-01,119.23172,level
1995-09-01,115.30958,level
1995-10-01,116.6791,level
1995-11-01,118.61969,level
1995-12-01,122.46839,level
1996-01-01,125.45537,level
1996-02-01,126.6435,level
1996-03-01,128.63258,level
1996-04-01,130.53484,level
1996-05-01,131.04669,level
1996-06-01,133.66344,level
1996-07-01,135.15813,level
1996-08-01,135.11677,level
1996-09-01,133.90335,level
1996-10-01,135.36627,level
1996-11-01,135.97601,level
1996-12-01,133.001,level
1997-01-01,131.63991,level
1997-02-01,133.04372,level
1997-03-01,134.64937,level
1997-04-01,135.91164,level
1997-05-01,135.5217,level
1997-06-01,136.57215,level
1997-07-01,137.18354,level
1997-08-01,136.21001,level
1997-09-01,135.69686,level
1997-10-01,136.95778,level
1997-11-01,138.88592,level
1997-12-01,140.63934,level
1998-01-01,141.95619,level
1998-02-01,143.14207,level
1998-03-01,143.65186,level
1998-04-01,143.90923,level
1998-05-01,143.71297,level
1998-06-01,142.10327,level
1998-07-01,140.82855,level
1998-08-01,137.69133,level
1998-09-01,134.44491,level
1998-10-01,130.68852,level
1998-11-01,128.87876,level
1998-12-01,127.8731,level
1999-01-01,126.9456,level
1999-02-01,125.25915,level
1999-03-01,121.92019,level
1999-04-01,99.80178,level
1999-05-01,93.9055,level
1999-06-01,89.20787,level
1999-07-01,89.54325,level
1999-08-01,89.47527,level
1999-09-01,86.68281,level
1999-10-01,84.14197,level
1999-11-01,86.83438,level
1999-12-01,88.76528,level
2000-01-01,90.13228,level
2000-02-01,89.28468,level
2000-03-01,87.57294,level
2000-04-01,87.35343,level
2000-05-01,87.84385,level
2000-06-01,87.71647,level
2000-07-01,87.77003,level
2000-08-01,88.06352,level
2000-09-01,87.99185,level
2000-10-01,88.97055,level
2000-11-01,89.47461,level
2000-12-01,90.01825,level
2001-01-01,90.08363,level
2001-02-01,90.31322,level
2001-03-01,90.65433,level
2001-04-01,90.9171,level
2001-05-01,90.50138,level
2001-06-01,90.14178,level
2001-07-01,90.16967,level
2001-08-01,89.92664,level
2001-09-01,89.38908,level
2001-10-01,90.09132,level
2001-11-01,90.7259,level
2001-12-01,90.86907,level
2002-01-01,90.53201,level
2002-02-01,90.1365,level
2002-03-01,89.66746,level
2002-04-01,89.33606,level
2002-05-01,90.00417,level
2002-06-01,90.29635,level
2002-07-01,90.28651,level
2002-08-01,89.44808,level
2002-09-01,89.26943,level
2002-10-01,89.72374,level
2002-11-01,90.58841,level
2002-12-01,91.35457,level
2003-01-01,91.9701,level
2003-02-01,92.95983,level
2003-03-01,93.71589,level
2003-04-01,93.99028,level
2003-05-01,94.86536,level
2003-06-01,96.16483,level
2003-07-01,97.33946,level
2003-08-01,97.2039,level
2003-09-01,96.48125,level
2003-10-01,97.92146,level
2003-11-01,100.29917,level
2003-12-01,102.80025,level
2004-01-01,105.70118,level
2004-02-01,107.17126,level
2004-03-01,106.96588,level
2004-04-01,107.6833,level
2004-05-01,108.06262,level
2004-06-01,108.67343,level
2004-07-01,109.64811,level
2004-08-01,109.56263,level
2004-09-01,110.87249,level
2004-10-01,113.28304,level
2004-11-01,116.41814,level
2004-12-01,118.65639,level
2005-01-01,118.9954,level
2005-02-01,118.96213,level
2005-03-01,118.24194,level
2005-04-01,117.6221,level
2005-05-01,118.40129,level
2005-06-01,116.50514,level
2005-07-01,115.03891,level
2005-08-01,114.91905,level
2005-09-01,115.46982,level
2005-10-01,116.76004,level
2005-11-01,118.16073,level
2005-12-01,119.99146,level
2006-01-01,120.79488,level
2006-02-01,124.10096,level
2006-03-01,126.96843,level
2006-04-01,128.49845,level
2006-05-01,133.22513,level
2006-06-01,136.57863,level
2006-07-01,138.18966,level
2006-08-01,132.57042,level
2006-09-01,130.46047,level
2006-10-01,130.65692,level
2006-11-01,131.68809,level
2006-12-01,132.75189,level
2007-01-01,136.02334,level
2007-02-01,137.64874,level
2007-03-01,138.02054,level
2007-04-01,140.07502,level
2007-05-01,142.10214,level
2007-06-01,141.11031,level
2007-07-01,142.14777,level
2007-08-01,139.89189,level
2007-09-01,146.33486,level
2007-10-01,153.89492,level
2007-11-01,157.31352,level
2007-12-01,160.3143,level
2008-01-01,161.75914,level
2008-02-01,162.63196,level
2008-03-01,161.85797,level
2008-04-01,162.51882,level
2008-05-01,162.71035,level
2008-06-01,162.81113,level
2008-07-01,163.99549,level
2008-08-01,166.37154,level
2008-09-01,168.00725,level
2008-10-01,170.46648,level
2008-11-01,174.14276,level
2008-12-01,175.53089,level
2009-01-01,174.36159,level
2009-02-01,144.5322,level
2009-03-01,141.47415,level
2009-04-01,142.32395,level
2009-05-01,143.24054,level
2009-06-01,142.59921,level
2009-07-01,142.96514,level
2009-08-01,142.81302,level
2009-09-01,143.20162,level
2009-10-01,143.73058,level
2009-11-01,145.37005,level
2009-12-01,147.51812,level
2010-01-01,149.65845,level
2010-02-01,151.25774,level
2010-03-01,152.43029,level
2010-04-01,153.67224,level
2010-05-01,154.46596,level
2010-06-01,154.47718,level
2010-07-01,154.33395,level
2010-08-01,154.32662,level
2010-09-01,155.08348,level
2010-10-01,156.10082,level
2010-11-01,157.33392,level
2010-12-01,158.29272,level
2011-01-01,160.64434,level
2011-02-01,162.94162,level
2011-03-01,162.89373,level
2011-04-01,162.98694,level
2011-05-01,162.90991,level
2011-06-01,163.29788,level
2011-07-01,163.79,level
2011-08-01,163.14193,level
2011-09-01,162.56865,level
2011-10-01,162.50395,level
2011-11-01,163.75353,level
2011-12-01,164.50421,level
2012-01-01,163.82703,level
2012-02-01,163.98155,level
2012-03-01,163.65595,level
2012-04-01,164.33323,level
2012-05-01,165.55631,level
2012-06-01,165.10174,level
2012-07-01,164.96568,level
2012-08-01,164.82883,level
2012-09-01,164.77414,level
2012-10-01,165.27477,level
2012-11-01,167.13191,level
2012-12-01,168.64526,level
2013-01-01,169.33562,level
2013-02-01,169.62236,level
2013-03-01,169.11951,level
2013-04-01,169.58155,level
2013-05-01,169.60946,level
2013-06-01,169.23324,level
2013-07-01,168.15709,level
2013-08-01,167.99616,level
2013-09-01,167.6982,level
2013-10-01,167.92294,level
2013-11-01,169.72611,level
2013-12-01,170.16117,level
2014-01-01,169.61129,level
2014-02-01,151.42014,level
2014-03-01,146.6273,level
2014-04-01,147.2243,level
2014-05-01,147.1991,level
2014-06-01,146.59158,level
2014-07-01,146.775,level
2014-08-01,148.81072,level
2014-09-01,149.52839,level
2014-10-01,150.86631,level
2014-11-01,153.02998,level
2014-12-01,153.4956,level
2015-01-01,153.96279,level
2015-02-01,152.7995,level
2015-03-01,151.66696,level
2015-04-01,151.30324,level
2015-05-01,150.94721,level
2015-06-01,150.12017,level
2015-07-01,149.64983,level
2015-08-01,134.97172,level
2015-09-01,108.36989,level
2015-10-01,108.3262,level
2015-11-01,102.31152,level
2015-12-01,97.15416,level
2016-01-01,87.52354,level
2016-02-01,90.02373,level
2016-03-01,93.4355,level
2016-04-01,95.5676,level
2016-05-01,96.82107,level
2016-06-01,95.88668,level
2016-07-01,95.06355,level
2016-08-01,94.56239,level
2016-09-01,96.09639,level
2016-10-01,98.34195,level
2016-11-01,97.50983,level
2016-12-01,100.0,level
2017-01-01,101.13336,level
2017-02-01,105.44125,level
2017-03-01,107.06049,level
2017-04-01,108.4881,level
2017-05-01,108.37795,level
2017-06-01,107.03148,level
2017-07-01,104.85,level
2017-08-01,102.35694,level
2017-09-01,100.29483,level
2017-10-01,102.33827,level
2017-11-01,104.64524,level
2017-12-01,104.8771,level
2018-01-01,107.17322,level
2018-02-01,109.09279,level
2018-03-01,109.82406,level
2018-04-01,108.18431,level
2018-05-01,106.94918,level
2018-06-01,104.3155,level
2018-07-01,102.14494,level
2018-08-01,98.34634,level
2018-09-01,96.10743,level
2018-10-01,96.32279,level
2018-11-01,96.59699,level
2018-12-01,97.14386,level
2019-01-01,95.85857,level
2019-02-01,96.13692,level
2019-03-01,95.80389,level
2019-04-01,95.46753,level
2019-05-01,95.63941,level
2019-06-01,95.29755,level
2019-07-01,94.86117,level
2019-08-01,94.35584,level
2019-09-01,94.48566,level
2019-10-01,94.29649,level
2019-11-01,95.44613,level
2019-12-01,97.11332,level
2020-01-01,98.65002,level
2020-02-01,99.31989,level
2020-03-01,90.37192,level
2020-04-01,89.01299,level
2020-05-01,92.59616,level
2020-06-01,96.13409,level
2020-07-01,93.54131,level
2020-08-01,91.88602,level
2020-09-01,90.8248,level
2020-10-01,90.43161,level
2020-11-01,91.51475,level
2020-12-01,93.93487,level
2021-01-01,94.17266,level
2021-02-01,94.73121,level
2021-03-01,94.11984,level
2021-04-01,92.00795,level
2021-05-01,92.5389,level
2021-06-01,92.74805,level
2021-07-01,93.02306,level
2021-08-01,93.57046,level
2021-09-01,93.66852,level
2021-10-01,93.52918,level
2021-11-01,92.46076,level
2021-12-01,91.7422,level
2022-01-01,91.86458,level
2022-02-01,91.40621,level
2022-03-01,81.52013,level
2022-04-01,91.75708,level
2022-05-01,96.33933,level
2022-06-01,93.31456,level
2022-07-01,88.41362,level
2022-08-01,89.99106,level
2022-09-01,91.24862,level
2022-10-01,92.98368,level
2022-11-01,96.11281,level
2022-12-01,96.88958,level
2023-01-01,98.13563,level
2023-02-01,101.32487,level
2023-03-01,101.66965,level
2023-04-01,102.11088,level
2023-05-01,103.69542,level
2023-06-01,103.25504,level
2023-07-01,104.59,level
2023-08-01,102.84126,level
2023-09-01,99.75763,level
2023-10-01,98.91189,level
2023-11-01,102.95593,level
2023-12-01,104.97442,level
2024-01-01,106.76654,level
2024-02-01,107.52641,level
2024-03-01,107.77091,level
2024-04-01,108.77333,level
2024-05-01,109.90931,level
2024-06-01,106.85557,level
2024-07-01,103.23932,level
2024-08-01,102.93165,level
2024-09-01,103.03144,level
2024-10-01,102.45654,level
2024-11-01,101.25561,level
2024-12-01,97.45751,level
2025-01-01,97.17494,level
2025-02-01,101.93369,level
2025-03-01,104.28129,level
2025-04-01,101.8087,level
2025-05-01,103.287,level
2025-06-01,103.18094,level
2025-07-01,100.84412,level
2025-08-01,99.77134,level
2025-09-01,100.22369,level
2025-10-01,101.22121,level
2025-11-01,105.48585,level
2025-12-01,108.536,level
2026-01-01,109.95307,level
2026-02-01,113.4,level
2026-03-01,114.8843,level
2026-04-01,119.27243,level
2026-05-01,119.00934,level
2026-06-01,116.28077,level
2026-07-01,120.68601,level
