date,value,transformation
2005-01-01,20.583486,level
2005-04-01,16.707132,level
2005-07-01,16.148851,level
2005-10-01,12.376132,level
2006-01-01,17.970512,level
2006-04-01,19.264853,level
2006-07-01,18.21537,level
2006-10-01,23.612615,level
2007-01-01,25.10886,level
2007-04-01,24.353054,level
2007-07-01,18.83543,level
2007-10-01,16.813244,level
2008-01-01,17.302307,level
2008-04-01,18.040199,level
2008-07-01,17.090549,level
2008-10-01,14.87444,level
2009-01-01,14.636954,level
2009-04-01,15.181985,level
2009-07-01,18.196021,level
2009-10-01,20.011613,level
2010-01-01,22.588967,level
2010-04-01,20.825467,level
2010-07-01,20.675822,level
2010-10-01,19.078114,level
2011-01-01,22.469897,level
2011-04-01,20.869848,level
2011-07-01,18.060998,level
2011-10-01,15.210446,level
2012-01-01,16.325086,level
2012-04-01,15.995072,level
2012-07-01,14.685225,level
2012-10-01,13.590637,level
2013-01-01,13.207628,level
2013-04-01,11.976726,level
2013-07-01,10.81468,level
2013-10-01,10.444502,level
2014-01-01,11.207432,level
2014-04-01,11.347005,level
2014-07-01,12.084238,level
2014-10-01,13.191605,level
2015-01-01,13.28282,level
2015-04-01,13.217125,level
2015-07-01,13.368361,level
2015-10-01,15.115637,level
2016-01-01,17.104323,level
2016-04-01,11.629221,level
2016-07-01,22.969044,level
2016-10-01,21.642349,level
2017-01-01,20.647341,level
2017-04-01,20.084237,level
2017-07-01,20.754069,level
2017-10-01,18.582421,level
2018-01-01,18.006711,level
2018-04-01,17.244282,level
2018-07-01,17.080301,level
2018-10-01,17.245125,level
2019-01-01,15.361282,level
2019-04-01,16.11741,level
2019-07-01,16.388543,level
2019-10-01,15.939981,level
2020-01-01,16.085711,level
2020-04-01,18.450067,level
2020-07-01,19.040588,level
2020-10-01,20.830789,level
2021-01-01,19.739967,level
2021-04-01,19.911295,level
2021-07-01,19.393251,level
2021-10-01,17.411253,level
2022-01-01,16.338139,level
2022-04-01,15.176307,level
2022-07-01,15.155332,level
2022-10-01,15.526934,level
2023-01-01,15.445664,level
2023-04-01,14.284196,level
2023-07-01,12.759818,level
2023-10-01,13.775568,level
2024-01-01,14.181679,level
2024-04-01,14.630595,level
2024-07-01,15.979874,level
2024-10-01,15.736963,level
2025-01-01,17.249283,level
2025-04-01,17.76681,level
2025-07-01,19.489205,level
2025-10-01,21.383318,level
2026-01-01,21.252677,level
