date,value,transformation
2005-04-01,14406.757951,level
2005-07-01,13243.230931,level
2005-10-01,13881.742411,level
2006-01-01,15143.181621,level
2006-04-01,19435.998584,level
2006-07-01,22946.251592,level
2006-10-01,24613.435703,level
2007-01-01,33219.821124,level
2007-04-01,37550.589149,level
2007-07-01,40026.887658,level
2007-10-01,37430.825509,level
2008-01-01,38616.025221,level
2008-04-01,42439.776686,level
2008-07-01,46501.469511,level
2008-10-01,48821.40337,level
2009-01-01,47257.962397,level
2009-04-01,41170.877893,level
2009-07-01,42111.841571,level
2009-10-01,44550.046964,level
2010-01-01,47426.875204,level
2010-04-01,52699.62404,level
2010-07-01,53039.595367,level
2010-10-01,57521.889976,level
2011-01-01,59270.682016,level
2011-04-01,68896.245622,level
2011-07-01,73099.657606,level
2011-10-01,71799.03956,level
2012-01-01,72993.654445,level
2012-04-01,80592.52797,level
2012-07-01,84202.738136,level
2012-10-01,85731.005451,level
2013-01-01,86184.615068,level
2013-04-01,88101.874046,level
2013-07-01,89053.582685,level
2013-10-01,91691.836436,level
2014-01-01,95504.821881,level
2014-04-01,99329.073018,level
2014-07-01,103451.141142,level
2014-10-01,103501.01194,level
2015-01-01,102394.915807,level
2015-04-01,99178.354338,level
2015-07-01,97123.981971,level
2015-10-01,95547.717585,level
2016-01-01,91263.421338,level
2016-04-01,93635.604692,level
2016-07-01,96087.91377,level
2016-10-01,95768.385337,level
2017-01-01,90928.629929,level
2017-04-01,92507.243476,level
2017-07-01,92193.370276,level
2017-10-01,89272.411319,level
2018-01-01,89330.153284,level
2018-04-01,89020.772519,level
2018-07-01,88127.561698,level
2018-10-01,86423.312964,level
2019-01-01,88914.832915,level
2019-04-01,87573.372035,level
2019-07-01,88160.668098,level
2019-10-01,87536.259432,level
2020-01-01,89690.761715,level
2020-04-01,85673.736194,level
2020-07-01,88380.078932,level
2020-10-01,88724.945859,level
2021-01-01,91980.344076,level
2021-04-01,88481.917567,level
2021-07-01,90161.201487,level
2021-10-01,88380.970379,level
2022-01-01,87391.369333,level
2022-04-01,83668.054765,level
2022-07-01,81522.079548,level
2022-10-01,82089.311011,level
2023-01-01,88514.675827,level
2023-04-01,92131.894429,level
2023-07-01,91829.411279,level
2023-10-01,87365.894972,level
2024-01-01,93349.967534,level
2024-04-01,95833.464171,level
2024-07-01,99134.712607,level
2024-10-01,104502.919721,level
2025-01-01,102012.868714,level
2025-04-01,107434.031906,level
2025-07-01,111523.185641,level
2025-10-01,119268.968851,level
2026-01-01,128108.614046,level
2026-04-01,128641.121949,level
