date,value,transformation
2005-04-01,8.666906,level
2005-07-01,7.293288,level
2005-10-01,7.11639,level
2006-01-01,7.137689,level
2006-04-01,8.708025,level
2006-07-01,9.660457,level
2006-10-01,9.617533,level
2007-01-01,12.123746,level
2007-04-01,12.700508,level
2007-07-01,12.485923,level
2007-10-01,10.70416,level
2008-01-01,10.299904,level
2008-04-01,11.077629,level
2008-07-01,11.66561,level
2008-10-01,11.800317,level
2009-01-01,11.440038,level
2009-04-01,10.267565,level
2009-07-01,11.280952,level
2009-10-01,13.032875,level
2010-01-01,14.592435,level
2010-04-01,16.278188,level
2010-07-01,16.146132,level
2010-10-01,16.718418,level
2011-01-01,16.069758,level
2011-04-01,18.207675,level
2011-07-01,18.047353,level
2011-10-01,17.296079,level
2012-01-01,17.066962,level
2012-04-01,17.81864,level
2012-07-01,18.309164,level
2012-10-01,17.761002,level
2013-01-01,16.95373,level
2013-04-01,17.128929,level
2013-07-01,16.810292,level
2013-10-01,17.188403,level
2014-01-01,18.119649,level
2014-04-01,19.264083,level
2014-07-01,20.631555,level
2014-10-01,21.209189,level
2015-01-01,21.824957,level
2015-04-01,21.528101,level
2015-07-01,22.163339,level
2015-10-01,23.189768,level
2016-01-01,24.398753,level
2016-04-01,26.662446,level
2016-07-01,29.648056,level
2016-10-01,31.300112,level
2017-01-01,29.936795,level
2017-04-01,29.720801,level
2017-07-01,28.314931,level
2017-10-01,26.827329,level
2018-01-01,26.044275,level
2018-04-01,24.965316,level
2018-07-01,24.041498,level
2018-10-01,22.572592,level
2019-01-01,22.668618,level
2019-04-01,22.466535,level
2019-07-01,21.769986,level
2019-10-01,20.629208,level
2020-01-01,20.437801,level
2020-04-01,19.414162,level
2020-07-01,20.924097,level
2020-10-01,21.875949,level
2021-01-01,23.735973,level
2021-04-01,23.05009,level
2021-07-01,22.83835,level
2021-10-01,22.265003,level
2022-01-01,21.144319,level
2022-04-01,19.476053,level
2022-07-01,18.219108,level
2022-10-01,17.425212,level
2023-01-01,17.574285,level
2023-04-01,16.937523,level
2023-07-01,15.903376,level
2023-10-01,14.621585,level
2024-01-01,15.474204,level
2024-04-01,16.006516,level
2024-07-01,16.593456,level
2024-10-01,17.304026,level
2025-01-01,16.597647,level
2025-04-01,17.345939,level
2025-07-01,17.611125,level
2025-10-01,18.471417,level
2026-01-01,19.146254,level
2026-04-01,18.784425,level
