date,value,transformation
2026-02-24,17.18,level
2026-02-25,17.3,level
2026-02-26,17.34,level
2026-02-27,17.8,level
2026-02-28,17.97,level
2026-03-01,17.97,level
2026-03-02,17.97,level
2026-03-03,17.51,level
2026-03-04,17.74,level
2026-03-05,18.03,level
2026-03-06,18.19,level
2026-03-07,18.06,level
2026-03-08,18.06,level
2026-03-09,18.06,level
2026-03-10,18.06,level
2026-03-11,17.61,level
2026-03-12,17.6,level
2026-03-13,17.5,level
2026-03-14,17.41,level
2026-03-15,17.41,level
2026-03-16,17.41,level
2026-03-17,17.68,level
2026-03-18,18.1,level
2026-03-19,17.86,level
2026-03-20,17.73,level
2026-03-21,17.77,level
2026-03-22,17.77,level
2026-03-23,17.77,level
2026-03-24,17.77,level
2026-03-25,17.77,level
2026-03-26,17.77,level
2026-03-27,17.77,level
2026-03-28,17.81,level
2026-03-29,17.81,level
2026-03-30,17.81,level
2026-03-31,17.79,level
2026-04-01,18.25,level
2026-04-02,18.35,level
2026-04-03,18.08,level
2026-04-04,17.9,level
2026-04-05,17.9,level
2026-04-06,17.9,level
2026-04-08,17.66,level
2026-04-09,17.66,level
2026-04-10,18.04,level
2026-04-11,17.86,level
2026-04-12,17.86,level
2026-04-13,17.86,level
2026-04-14,18.04,level
2026-04-15,18.16,level
2026-04-16,18.56,level
2026-04-17,18.57,level
2026-04-18,18.06,level
2026-04-19,18.06,level
2026-04-20,18.06,level
2026-04-21,17.97,level
2026-04-22,17.81,level
2026-04-23,17.67,level
2026-04-24,17.67,level
2026-04-25,17.71,level
2026-04-26,17.71,level
2026-04-27,17.71,level
2026-04-28,17.87,level
2026-04-29,18.0,level
2026-04-30,18.41,level
2026-05-01,18.19,level
2026-05-02,18.19,level
2026-05-03,18.19,level
2026-05-04,18.19,level
2026-05-05,17.83,level
2026-05-06,17.64,level
2026-05-07,17.48,level
2026-05-08,17.48,level
2026-05-12,17.56,level
2026-05-13,17.56,level
2026-05-14,17.64,level
2026-05-15,17.63,level
2026-05-16,17.52,level
2026-05-17,17.52,level
2026-05-18,17.52,level
2026-05-19,17.61,level
2026-05-20,17.62,level
2026-05-21,17.48,level
2026-05-22,17.45,level
2026-05-23,17.58,level
2026-05-24,17.58,level
2026-05-25,17.58,level
2026-05-26,17.72,level
2026-05-27,18.12,level
2026-05-28,18.12,level
2026-05-29,18.42,level
2026-05-30,18.71,level
2026-05-31,18.71,level
2026-06-01,18.71,level
2026-06-02,18.47,level
2026-06-03,18.21,level
2026-06-04,18.18,level
2026-06-05,18.03,level
2026-06-06,17.79,level
2026-06-07,17.79,level
2026-06-08,17.79,level
2026-06-09,16.56,level
2026-06-10,16.53,level
2026-06-11,16.84,level
2026-06-12,17.11,level
2026-06-13,17.11,level
2026-06-14,17.18,level
2026-06-15,17.18,level
2026-06-16,16.88,level
2026-06-17,16.9,level
2026-06-18,16.64,level
2026-06-19,16.5,level
2026-06-20,16.59,level
2026-06-21,16.59,level
2026-06-22,16.59,level
2026-06-23,16.67,level
2026-06-24,16.69,level
2026-06-25,16.72,level
2026-06-26,16.72,level
2026-06-27,16.83,level
2026-06-28,16.83,level
2026-06-29,16.83,level
2026-06-30,16.8,level
2026-07-01,16.24,level
2026-07-02,16.36,level
2026-07-03,16.59,level
2026-07-04,16.9,level
2026-07-05,16.9,level
2026-07-06,16.9,level
2026-07-07,16.9,level
2026-07-08,16.55,level
2026-07-09,16.55,level
2026-07-10,16.47,level
2026-07-11,16.61,level
2026-07-12,16.61,level
2026-07-13,16.61,level
2026-07-14,16.73,level
2026-07-15,16.79,level
2026-07-16,16.79,level
2026-07-17,16.76,level
2026-07-18,16.72,level
2026-07-19,16.72,level
2026-07-20,16.72,level
2026-07-21,16.67,level
2026-07-22,16.72,level
2026-07-23,16.64,level
2026-07-24,16.51,level
2026-07-25,16.29,level
2026-07-26,16.29,level
2026-07-27,16.29,level
2026-07-28,16.29,level
2026-07-29,16.43,level
2026-07-30,16.15,level
2026-07-31,16.21,level
2026-08-01,15.72,level
2026-08-02,15.72,level
2026-08-03,15.72,level
2026-08-04,15.62,level
2026-08-05,15.86,level
2026-08-06,15.84,level
2026-08-07,15.81,level
2026-08-08,15.77,level
2026-08-09,15.77,level
2026-08-10,15.77,level
2026-08-11,15.8,level
2026-08-12,15.77,level
2026-08-13,15.76,level
2026-08-14,15.8,level
2026-08-15,15.85,level
2026-08-16,15.85,level
2026-08-17,15.85,level
2026-08-18,15.83,level
2026-08-19,15.95,level
2026-08-20,16.03,level
2026-08-21,16.01,level
2026-08-22,16.04,level
2026-08-23,16.04,level
2026-08-24,16.04,level
2026-08-25,16.13,level
2026-08-26,16.13,level
2026-08-27,17.26,level
2026-08-28,17.33,level
2026-08-29,16.91,level
2026-08-30,16.91,level
2026-08-31,16.91,level
2026-09-01,16.27,level
2026-09-02,16.12,level
2026-09-03,16.17,level
2026-09-04,16.25,level
2026-09-05,16.06,level
2026-09-06,16.06,level
2026-09-07,16.06,level
2026-09-08,15.89,level
2026-09-09,15.89,level
2026-09-10,15.93,level
2026-09-11,15.93,level
2026-09-12,15.87,level
2026-09-13,15.87,level
2026-09-14,15.87,level
2026-09-15,15.87,level
2026-09-16,15.96,level
2026-09-17,15.87,level
2026-09-18,15.9,level
2026-09-19,15.9,level
2026-09-20,15.9,level
