date,value,transformation
1993-01-01,115.3,level
1993-04-01,113.5,level
1993-07-01,113.0,level
1993-10-01,114.2,level
1994-01-01,114.2,level
1994-04-01,113.4,level
1994-07-01,113.1,level
1994-10-01,112.1,level
1995-01-01,112.0,level
1995-04-01,111.0,level
1995-07-01,110.5,level
1995-10-01,110.8,level
1996-01-01,111.0,level
1996-04-01,109.4,level
1996-07-01,109.3,level
1996-10-01,110.3,level
1997-01-01,110.2,level
1997-04-01,110.1,level
1997-07-01,108.7,level
1997-10-01,108.6,level
1998-01-01,107.3,level
1998-04-01,107.0,level
1998-07-01,107.9,level
1998-10-01,109.2,level
1999-01-01,109.0,level
1999-04-01,107.9,level
1999-07-01,107.7,level
1999-10-01,106.8,level
2000-01-01,108.8,level
2000-04-01,109.2,level
2000-07-01,108.9,level
2000-10-01,107.6,level
2001-01-01,109.5,level
2001-04-01,108.6,level
2001-07-01,108.0,level
2001-10-01,107.5,level
2002-01-01,109.0,level
2002-04-01,108.9,level
2002-07-01,109.7,level
2002-10-01,109.2,level
2003-01-01,111.2,level
2003-04-01,109.2,level
2003-07-01,110.1,level
2003-10-01,110.1,level
2004-01-01,110.6,level
2004-04-01,111.6,level
2004-07-01,109.8,level
2004-10-01,108.8,level
2005-01-01,111.2,level
2005-04-01,111.1,level
2005-07-01,110.9,level
2005-10-01,112.4,level
2006-01-01,112.4,level
2006-04-01,113.6,level
2006-07-01,112.2,level
2006-10-01,112.5,level
2007-01-01,113.6,level
2007-04-01,114.9,level
2007-07-01,114.2,level
2007-10-01,113.9,level
2008-01-01,111.6,level
2008-04-01,111.0,level
2008-07-01,109.5,level
2008-10-01,107.1,level
2009-01-01,106.4,level
2009-04-01,108.2,level
2009-07-01,110.6,level
2009-10-01,111.9,level
2010-01-01,112.2,level
2010-04-01,110.7,level
2010-07-01,109.9,level
2010-10-01,109.9,level
2011-01-01,110.1,level
2011-04-01,109.9,level
2011-07-01,109.3,level
2011-10-01,108.7,level
2012-01-01,108.1,level
2012-04-01,107.7,level
2012-07-01,107.5,level
2012-10-01,108.1,level
2013-01-01,107.9,level
2013-04-01,107.6,level
2013-07-01,107.9,level
2013-10-01,107.7,level
2014-01-01,107.6,level
2014-04-01,107.7,level
2014-07-01,107.3,level
2014-10-01,107.4,level
2015-01-01,107.1,level
2015-04-01,107.1,level
2015-07-01,107.0,level
2015-10-01,106.9,level
2016-01-01,106.8,level
2016-04-01,106.7,level
2016-07-01,106.7,level
2016-10-01,106.8,level
2017-01-01,107.0,level
2017-04-01,107.0,level
2017-07-01,106.9,level
2017-10-01,106.8,level
2018-01-01,106.9,level
2018-04-01,106.9,level
2018-07-01,106.7,level
2018-10-01,106.5,level
2019-01-01,106.4,level
2019-04-01,106.1,level
2019-07-01,106.0,level
2019-10-01,105.9,level
2020-01-01,93.2,level
2020-04-01,103.2,level
2020-07-01,104.9,level
2020-10-01,106.5,level
2021-01-01,118.9,level
2021-04-01,108.1,level
2021-07-01,105.5,level
2021-10-01,104.5,level
2022-01-01,104.8,level
2022-04-01,100.8,level
2022-07-01,104.0,level
2022-10-01,103.0,level
2023-01-01,104.7,level
2023-04-01,106.5,level
2023-07-01,105.0,level
2023-10-01,105.3,level
2024-01-01,105.3,level
2024-04-01,104.7,level
2024-07-01,104.6,level
2024-10-01,105.4,level
2025-01-01,105.4,level
2025-04-01,105.2,level
2025-07-01,104.8,level
2025-10-01,104.5,level
2026-01-01,105.0,level
2026-04-01,104.3,level
