"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"ССП"	"LССП"	"ГНКИПЦ01_2753"	"LГНКИПЦ01_2753"	"VAL"
"Индекс потребительских цен(Процент)"	"Ноябрь 2019 г."	"201911"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"105.0"
"Индекс потребительских цен(Процент)"	"Июнь 2018 г."	"201806"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"106.1"
"Индекс потребительских цен(Процент)"	"Октябрь 2018 г."	"201810"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"105.6"
"Индекс потребительских цен(Процент)"	"Сентябрь 2018 г."	"201809"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"105.9"
"Индекс потребительских цен(Процент)"	"Июль 2014 г."	"201407"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"105.4"
"Индекс потребительских цен(Процент)"	"Сентябрь 2014 г."	"201409"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"105.7"
"Индекс потребительских цен(Процент)"	"Июль 2017 г."	"201707"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"106.2"
"Индекс потребительских цен(Процент)"	"Август 2012 г."	"201208"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"103.6"
"Индекс потребительских цен(Процент)"	"Ноябрь 2011 г."	"201111"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"107.7"
"Индекс потребительских цен(Процент)"	"Март 2014 г."	"201403"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"104.6"
"Индекс потребительских цен(Процент)"	"Февраль 2014 г."	"201402"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"105.3"
"Индекс потребительских цен(Процент)"	"Январь 2014 г."	"201401"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"104.9"
"Индекс потребительских цен(Процент)"	"Ноябрь 2014 г."	"201411"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"106.3"
"Индекс потребительских цен(Процент)"	"Февраль 2018 г."	"201802"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"106.4"
"Индекс потребительских цен(Процент)"	"Октябрь 2020 г."	"202010"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"106.9"
"Индекс потребительских цен(Процент)"	"Май 2021 г."	"202105"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"107.2"
"Индекс потребительских цен(Процент)"	"Октябрь 2021 г."	"202110"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"108.6"
"Индекс потребительских цен(Процент)"	"Сентябрь 2021 г."	"202109"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"108.7"
"Индекс потребительских цен(Процент)"	"Июль 2021 г."	"202107"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"108.2"
"Индекс потребительских цен(Процент)"	"Июнь 2021 г."	"202106"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"107.8"
"Индекс потребительских цен(Процент)"	"Август 2021 г."	"202108"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"108.2"
"Индекс потребительских цен(Процент)"	"Август 2016 г."	"201608"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"116.9"
"Индекс потребительских цен(Процент)"	"Апрель 2016 г."	"201604"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"116.1"
"Индекс потребительских цен(Процент)"	"Декабрь 2021 г."	"202112"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"108.5"
"Индекс потребительских цен(Процент)"	"Апрель 2021 г."	"202104"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"107.0"
"Индекс потребительских цен(Процент)"	"Ноябрь 2021 г."	"202111"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"108.8"
"Индекс потребительских цен(Процент)"	"Май 2017 г."	"201705"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"106.2"
"Индекс потребительских цен(Процент)"	"Январь 2020 г."	"202001"	"ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ"	"0"	"отчетный период к соответствующему периоду прошлого года"	"0"	"Товары и услуги"	"0"	"105.0"
