STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,REPORTING_PERIOD_TYPE,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP,REFERENCE_PERIOD,COMMON_REFERENCE_PERIOD,STATUS,IFS_FLAG
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M01,21.10001081822177,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M02,23.20001180350913,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M03,22.39997302921668,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M04,21.70001960883698,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M05,21.30001248459918,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M06,22.59999560539365,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M07,24.00000406921118,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M08,25.80000358545024,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M09,27.30000225637298,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M10,27.70000072261123,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M11,27.50000238800496,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1994-M12,25.50000869227604,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M01,24.10000389857034,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M02,22.39999146440537,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M03,21.30001521358954,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M04,20.69999907448152,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M05,20.299991308698,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M06,18.20000852865639,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M07,16.69998880146557,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M08,14.50000197924955,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M09,13.19999801786665,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M10,12.09999385091989,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M11,11.20000524424608,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1995-M12,10.09999464380371,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M01,8.999984202869621,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M02,9.300014587476829,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M03,9.800005570331916,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M04,9.699994196775324,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M05,8.900006308641196,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M06,8.600008505162006,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M07,8.299997767962672,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M08,8.100005168520564,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M09,7.400000572442709,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M10,7.000016826235466,0,,,,,,O,OL,,,,true
dataflow,IMF.STA:CPI(5.0.0),R,CHN,CPI,_T,YOY_PCH_PA_PT,M,1996-M11,6.89999989894182,0,,,,,,O,OL,,,,true
