STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,SECTOR,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FSI,FSI_STO,FSI_COMPONENT,COUNTERPARTY_SECTOR,NA_STO,PRICES,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,DEFINITION,CONSOLIDATION_BASIS,INTRAGROUP_ADJUSTMENTS,ACCOUNTING_STANDARDS
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2008-Q1,14.42846015946752,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2008-Q2,14.97474386015086,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2008-Q3,14.8284960888325,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2008-Q4,14.86192018887202,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2009-Q1,14.18169955717545,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2009-Q2,8.969099776976262,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2009-Q3,7.86225040411545,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2009-Q4,9.519266702175827,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2010-Q1,17.10033929150852,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI688_CFSI_PT,Q,2010-Q2,18.09057191657791,0,,,FSI688,,CFSI,,,,PT,SC,,,,,,
