STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,SECTOR,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FSI,FSI_STO,FSI_COMPONENT,COUNTERPARTY_SECTOR,NA_STO,PRICES,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,DEFINITION,CONSOLIDATION_BASIS,INTRAGROUP_ADJUSTMENTS,ACCOUNTING_STANDARDS
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2008-Q1,50.3845124594706,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2008-Q2,50.79431890789901,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2008-Q3,51.62282442915274,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2008-Q4,52.16803874965871,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2009-Q1,57.63385494161139,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2009-Q2,58.8770549787761,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2009-Q3,57.31920571558231,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2009-Q4,53.50566649287143,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2010-Q1,52.78808427823809,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2010-Q2,51.10017472120822,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2010-Q3,48.93309035712216,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2010-Q4,46.73943023576254,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2011-Q1,45.23329176042558,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2011-Q2,42.57298827276059,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2011-Q3,40.12323252174752,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2011-Q4,38.53254945664464,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2012-Q1,36.77814281644207,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2012-Q2,35.11577936061587,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2012-Q3,32.85442541891585,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2012-Q4,31.24328538673301,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2013-Q1,30.15016715502475,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2013-Q2,30.22481324616907,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2013-Q3,31.5890296791541,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2013-Q4,31.51567790471986,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2014-Q1,36.78048449744436,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2014-Q2,35.14369793514771,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2014-Q3,32.08826061896055,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2014-Q4,30.6570945194111,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2015-Q1,31.58059327468567,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2015-Q2,31.0115789399327,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2015-Q3,37.23829085087697,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2015-Q4,42.70567638812307,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2016-Q1,43.10247405020079,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2016-Q2,43.03766594231781,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2016-Q3,42.08001055660429,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2016-Q4,39.85693992845991,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2017-Q1,36.93382345895676,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI131_AFSI_PT,Q,2017-Q2,35.96921055020001,0,,,FSI131,,AFSI,,,,PT,SC,,,,,,
