STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,SECTOR,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FSI,FSI_STO,FSI_COMPONENT,COUNTERPARTY_SECTOR,NA_STO,PRICES,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,DEFINITION,CONSOLIDATION_BASIS,INTRAGROUP_ADJUSTMENTS,ACCOUNTING_STANDARDS
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2008-Q1,13.81937282825257,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2008-Q2,13.29674881105494,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2008-Q3,15.28764746488726,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2008-Q4,13.03787768657207,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2009-Q1,18.14390889249637,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2009-Q2,16.12940289497328,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2009-Q3,19.03797883457794,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2009-Q4,18.73762900794225,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2010-Q1,21.90565939769756,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2010-Q2,22.6128114159385,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2010-Q3,22.98693402536776,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2010-Q4,21.067729278623,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2011-Q1,22.54987749342353,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2011-Q2,20.92469566346799,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2011-Q3,20.59588350016369,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2011-Q4,20.34826805576709,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2012-Q1,20.87241652216643,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2012-Q2,20.92312001214431,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2012-Q3,17.57710883115527,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2012-Q4,17.40680640381991,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2013-Q1,17.83265717923761,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2013-Q2,18.7786105174396,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2013-Q3,17.64269026429092,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2013-Q4,16.59814572900898,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2014-Q1,19.97099038481076,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2014-Q2,18.95851756258754,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI283_LIQATTA_PT,Q,2014-Q3,19.0386533847427,0,,,FSI283,LIQATTA,,,,,PT,O,,,,,,
