STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1992,-51.659721,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1993,-8.636585,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1994,-7.662874,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1995,-1.280688,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1996,-3.570219,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1997,-3.605986,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1998,-5.533715,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,1999,-1.013603,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2000,2.002567,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2001,-6.272451,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2002,-4.157803,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2003,-0.884199,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2004,0.777323,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2005,0.628099,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2006,-1.016006,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2007,-4.54688,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2008,0.964616,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2009,-0.116557,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2010,1.808611,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2011,7.302994,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2012,1.263711,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2013,1.913203,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2014,-1.288437,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2015,-5.412162,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2016,-5.073343,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2017,-2.054124,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2018,-0.984499,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2019,-3.868725,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2020,-6.461683,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2021,-1.359327,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2022,2.854326,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2023,-3.557706,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2024,-2.722483,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2025,-3.912392,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2026,-1.046644,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2027,-2.031753,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2028,-2.426629,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2029,-2.293755,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2030,-2.21105,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA_NGDPD,A,2031,-1.983981,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/29/2025
