STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1992,-1485277000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1993,-444953000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1994,-910449000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1995,-213100000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1996,-751000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1997,-799300000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1998,-1224900000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,1999,-171000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,2000,366309000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,BCA,A,2001,-1389516000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/29/2025
