STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1992,0.043287,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1993,0.584972,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1994,9.482983,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1995,24.740016,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1996,34.363798,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1997,39.90858,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1998,42.168518,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,1999,47.768741,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2000,56.092824,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2001,61.790123,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2002,65.376493,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2003,73.050575,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2004,84.835882,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2005,100,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2006,121.550001,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2007,140.423191,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2008,169.822944,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2009,177.789485,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2010,212.533613,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2011,255.955989,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2012,267.694072,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2013,293.399339,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2014,310.03458,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2015,316.313345,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2016,360.166021,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2017,401.315631,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2018,438.259167,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2019,471.712751,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2020,492.080598,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2021,561.704888,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2022,672.748366,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2023,736.809132,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2024,803.072705,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2025,870.288185,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2026,992.521081,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2027,1091.12937,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2028,1188.108681,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2029,1281.861532,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2030,1362.461818,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDP_D,A,2031,1434.987636,0,,3,,,B1GQ,,,,,,,,PD,,,,,IX,,,OL,9/29/2025
