STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1992,142.842263,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1993,1768.128324,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1994,26801.860179,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1995,64697.874176,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1996,91453.258053,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1997,110094.780371,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1998,115896.143818,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,1999,135318.479963,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,2000,174682.056609,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGDPPC,A,2001,218772.359083,0,,3,,,B1GQ,,,,,,,,,V,,,,XDC,,,OL,9/29/2025
