STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2002,1.923888,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2003,3.996049,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2004,3.28732,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2005,6.077755,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2006,7.652629,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2007,5.134415,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2008,1.227135,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2009,-1.328049,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2010,1.469692,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2011,5.811036,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2012,4.430882,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2013,4.945694,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2014,2.481848,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2015,-6.259289,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2016,-4.503217,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2017,-4.265509,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2018,2.579564,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2019,-0.569543,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2020,-7.036965,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2021,-4.966052,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2022,0.105381,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2023,-1.41244,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2024,-3.434168,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2025,-3.113865,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2026,-1.343847,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2027,-1.777447,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2028,-2.018662,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2029,-1.966799,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2030,-1.739838,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,GGXCNL_NGDP,A,2031,-1.716655,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,9/29/2025
