STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,1993,13.087335,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,1994,-20.773372,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,1995,23.122596,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,1996,21.600001,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,1997,17.288219,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,1998,2.049388,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,1999,-6.165625,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2000,29.963725,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2001,22.95061,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2002,12.199099,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2003,2.577467,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2004,28.165955,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2005,28.303354,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2006,10.89743,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2007,24.411257,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2008,6.152312,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2009,-10.988415,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2010,-5.88078,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2011,3.87992,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2012,27.747337,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2013,6.918568,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2014,-5.911134,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2015,-5.271598,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2016,-13.804368,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2017,4.98587,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,TM_RPCH,A,2018,8.426656,0,,3,,,,,,MGS,,,,,,VL,,,,PT,,,OL,9/29/2025
