STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,1993,1662.274815,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,1994,1401.986512,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,1995,176.37918,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,1996,39.1803,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,1997,17.401233,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,1998,7.132416,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,1999,8.322683,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2000,13.153821,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2001,8.372812,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2002,5.959302,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2003,6.378601,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2004,6.995487,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2005,7.411871,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2006,8.611501,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2007,10.795455,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2008,17.156177,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2009,7.302029,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2010,7.101799,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2011,8.379501,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2012,5.127796,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2013,5.819784,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2014,6.57668,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2015,6.750202,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2016,14.56519,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2017,7.458411,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2018,6.007792,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2019,5.280464,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2020,6.760977,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2021,8.002065,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2022,14.98566,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2023,14.522275,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2024,8.675661,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2025,11.378946,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2026,10.688503,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2027,10.053376,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2028,8.782549,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2029,7.599685,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2030,5.848574,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,PCPIPCH,A,2031,4.999999,0,,3,,,,,,,,,,,CPI,,,,,PT,,,OL,9/29/2025
