STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1992,17048344,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1993,16900000,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1994,15800000,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1995,15675800,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1996,15480600,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1997,15188200,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1998,14955300,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,1999,14901600,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2000,14883626,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2001,14858335,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2002,14858948,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2003,14909018,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2004,15012985,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2005,15147029,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2006,15308084,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2007,15484192,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2008,15674000,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2009,16092763,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2010,16321714,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2011,16556949,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2012,16791721,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2013,17035010,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2014,17287554,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2015,17541804,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2016,17792672,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2017,18036224,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2018,18275233,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2019,18512781,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2020,18754943,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2021,19000687,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2022,19634983,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2023,19900325,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2024,20158621,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2025,20380366,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2026,20594360,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2027,20810600,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2028,21018706,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2029,21228894,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2030,21441182,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LP,A,2031,21655594,6,,3,,,,,,,,POP,,,,,,,,,,,OL,9/29/2025
