STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1992,7.50239,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1993,14.100873,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1994,20.9034,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1995,22.03837,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1996,12.576744,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1997,11.992632,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1998,10.270641,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,1999,16.762557,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2000,20.141688,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2001,20.603876,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2002,23.12992,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2003,24.819756,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2004,27.088307,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2005,31.597876,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2006,32.884829,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2007,30.979819,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2008,28.471101,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2009,29.298008,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2010,27.18216,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2011,30.30114,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2012,26.493371,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2013,26.482808,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2014,24.50181,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2015,22.495753,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2016,22.75424,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2017,24.298358,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2018,24.273714,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2019,23.75885,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2020,22.345233,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2021,25.174109,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2022,27.830235,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2023,24.564518,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2024,24.628904,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2025,24.518675,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2026,27.939294,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2027,27.891753,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2028,28.651569,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2029,29.906639,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2030,30.55262,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,NGSD_NGDP,A,2031,31.123266,0,,3,,,B8GNAT,,,,,,,,,,,,,PT,,,OL,9/29/2025
