STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,1994,7.535613,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,1995,10.982635,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,1996,12.959477,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,1997,13.00789,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,1998,13.11573,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,1999,13.464864,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2000,12.752905,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2001,10.475,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2002,9.35,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2003,8.8,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2004,8.375,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2005,8.1,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2006,7.75,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2007,7.275,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2008,6.625,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2009,6.525,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2010,5.775,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2011,5.4,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2012,5.3,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2013,5.25,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2014,5.075,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2015,4.975,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2016,4.975,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2017,4.9,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2018,4.85,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2019,4.8,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2020,4.925,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
dataflow,IMF.RES:WEO(9.0.0),R,KAZ,LUR,A,2021,4.9,0,,3,,,,,,,,U,,,,,RT,,,,,,OL,9/29/2025
