year,iso3,dist,distw_harmonic,distcap,contig,comlang_off,comlang_ethno,comrelig,col_dep_ever,sibling_ever,comleg_posttrans,fta_wto,rta_type,gatt_d,wto_o,wto_d,eu_d,diplo_disagreement,scaled_sci_2021
1992,ABW,12978.0,12484.0,12978.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
1993,ABW,12978.0,12484.0,12978.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
1994,ABW,12978.0,12484.0,12978.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
1995,ABW,12978.0,12490.0,12978.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
1996,ABW,12978.0,12490.0,12978.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
1997,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
1998,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
1999,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2000,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2001,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2002,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2003,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2004,ABW,12978.0,12490.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2005,ABW,12978.0,12474.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2006,ABW,12978.0,12474.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2007,ABW,12978.0,12474.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2008,ABW,12978.0,12474.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2009,ABW,12978.0,12474.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2010,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2011,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2012,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2013,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2014,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,240.0
2015,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,240.0
2016,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,240.0
2017,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,240.0
2018,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,240.0
2019,ABW,12978.0,12467.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,240.0
2020,ABW,12978.0,12466.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,240.0
2021,ABW,12978.0,12466.0,12029.0,0.0,0.0,0.0,0.027,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,240.0
1992,AFG,1177.0,1428.0,1177.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.08,
1993,AFG,1177.0,1428.0,1177.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.309,
1994,AFG,1177.0,1428.0,1177.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.691,
1995,AFG,1177.0,1411.0,1177.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.329,
1996,AFG,1177.0,1411.0,1177.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.722,
1997,AFG,1177.0,1411.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.23,
1998,AFG,1177.0,1411.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.248,
1999,AFG,1177.0,1411.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.409,
2000,AFG,1177.0,1396.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.021,
2001,AFG,1177.0,1396.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.106,
2002,AFG,1177.0,1396.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.864,
2003,AFG,1177.0,1396.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.02,
2004,AFG,1177.0,1396.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.66,
2005,AFG,1177.0,1392.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.644,
2006,AFG,1177.0,1392.0,1859.0,0.0,0.0,0.0,0.467,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.141,
