date,BASE_RATE,CPI,EXCHANGE_RATE,EXPORTS,GDP_NOMINAL,GDP_REAL,GOV_DEBT,GOV_EXPENDITURE,GOV_REVENUE,IMF_CURRENT_ACCOUNT,IMF_GDP_GROWTH,IMF_INFLATION,IMPORTS,IND_PROD,INVESTMENT,M2,M3,UNEMPLOYMENT
1992-01-01,,,,,,,,,,-51.659721,,,,,,,,
1993-01-01,,,,,,,,,,-8.636585,-9.2,1662.274815,,,,,,
1994-01-01,,,,,,,,,,-7.662874,-12.57976,1401.986512,,,,,,
1995-01-01,,,,,,,,,,-1.280688,-8.2,176.37918,,,,,,
1996-01-01,,,,,,,,,,-3.570219,0.5,39.1803,,,,,,
1997-01-01,,,,,,,,,,-3.605986,1.7,17.401233,,,,,,
1998-01-01,,,,,,,,,,-5.533715,-1.9,7.132416,,,,,,
1999-01-01,,,,,,,,,,-1.013603,2.7,8.322683,,,,,,
2000-01-01,,,,,,,,,,2.002567,9.800298,13.153821,,,,,,
2000-12-31,,,,,,109.8,,,,,,,,,,,,
2001-01-01,,,,,,,,,,-6.272451,13.499461,8.372812,,,,,,
2001-12-31,,,,,,113.5,,,,,,,,,,,,
2002-01-01,,,,,,,,,,-4.157803,9.799076,5.959302,,,,,,
2002-12-31,,,,,,109.8,,,,,,,,,,,,
2003-01-01,,,,,,,,,,-0.884199,9.300232,6.378601,,,,,,
2003-12-31,,,,,,109.3,,,,,,,,,,,,
2004-01-01,,,,,,,,,,0.777323,9.598631,6.995487,,,,,,
2004-12-31,,,,,,109.6,,,,,,,,,,,,
2005-01-01,,,,,,,,,,0.628099,9.700176,7.411871,,,,,,
2005-12-31,,,,,,109.7,,,,,,,,,,,,
2006-01-01,,,,,,,,,,-1.016006,10.701546,8.611501,,,,,,
2006-12-31,,,,,,110.7,,,,,,,,,,,,
2007-01-01,,,,,,,,,,-4.54688,8.9,10.795455,,,,,,
2007-12-31,,,,,,108.9,,,,,,,,,,,,
2008-01-01,,,,,,,,,,0.964616,3.3,17.156177,,,,,,
2008-12-31,,,,,,103.3,,,,,,,,,,,,
2009-01-01,,,,,,,,,,-0.116557,1.2,7.302029,,,,,,
2009-12-31,,,,,,101.2,,,,,,,,102.7,,,,
2010-01-01,,,,,,,,,,1.808611,7.3,7.101799,,,,,,
2010-03-31,,,,,4020878400000.0,,,,,,,,,,,,,
2010-06-30,,,,,8712143851205.14,,,,,,,,,,,,,
2010-09-30,,,,,14135228100000.0,,,,,,,,,,,,,
2010-12-31,,,,,21815517000000.0,107.3,,,,,,,,109.6,,,,
2011-01-01,,101.7,,,,,,,,7.302994,7.5,8.379501,,,,,,
2011-02-01,,101.5,,,,,,,,,,,,,,,,
2011-03-01,,100.5,,,,,,,,,,,,,,,,
2011-03-31,,,,,5240223500000.0,,,,,,,,,,,,,
2011-04-01,,100.5,,,,,,,,,,,,,,,,
2011-05-01,,100.5,,,,,,,,,,,,,,,,
2011-06-01,,100.3,,,,,,,,,,,,,,,,
2011-06-30,,,,,11240030900000.0,,,,,,,,,,,,,
2011-07-01,,100.5,,,,,,,,,,,,,,,,
2011-08-01,,100.3,,,,,,,,,,,,,,,,
2011-09-01,,100.3,,,,,,,,,,,,,,,,
2011-09-30,,,,,18664939500000.0,,,,,,,,,,,,,
