code,name_ru,hs,match
TOTAL,"Экспорт товаров, всего",,^total$
WHEAT,"Пшеница и меслин",1001,^wheat$
FLOUR,"Мука пшеничная или пшенично-ржаная",1101,^flour$
IRON_ORE,"Руды и концентраты железные",2601,^iron_ore$
ZINC_ORE,"Руды и концентраты цинковые",2608,^zinc_ore$
CHROME_ORE,"Руды и концентраты хромовые",2610,^chrome_ore$
COAL,"Уголь каменный; брикеты, окатыши и аналогичные виды твердого топлива",2701,^coal$
CRUDE_OIL,"Нефть сырая и нефтепродукты сырые (2709, включая газовый конденсат — на уровне 6 знаков не отделяется)",2709,^crude_oil$
PETROLEUM_PRODUCTS,"Нефтепродукты (вся позиция 2710: бензин, дизельное топливо, мазут, смазочные и прочие)",2710,^petroleum_products$
NATURAL_GAS,"Газ природный в газообразном состоянии (271121; объём в тоннах не публикуется)",271121,^natural_gas$
LPG,"Сжиженные нефтяные газы (271112–271119)",271112|271113|271114|271119,^lpg$
SILVER,"Серебро необработанное или полуобработанное",7106,^silver$
GOLD,"Золото необработанное или полуобработанное",7108,^gold$
FERROALLOYS,"Ферросплавы",7202,^ferroalloys$
FERROUS_SCRAP,"Отходы и лом черных металлов; слитки черных металлов для переплавки",7204|7206,^ferrous_scrap$
FLAT_ROLLED,"Прокат плоский из железа или нелегированной стали (7208–7212)",7208|7209|7210|7211|7212,^flat_rolled$
COPPER,"Медь рафинированная и сплавы медные необработанные",7403,^copper$
LEAD,"Свинец необработанный",7801,^lead$
ALUMINIUM,"Алюминий необработанный",7601,^aluminium$
ZINC,"Цинк необработанный",7901,^zinc$
FATS_OILS,"Жиры и масла животного или растительного происхождения (группа 15)",15,^fats_oils$
INORGANIC_CHEM,"Продукты неорганической химии, соединения драгоценных и редкоземельных металлов (группа 28)",28,^inorganic_chem$
IRON_STEEL_ARTICLES,"Изделия из черных металлов (группа 73)",73,^iron_steel_articles$
TRANSPORT,"Средства наземного транспорта, летательные аппараты, плавучие средства (раздел XVII, группы 86–89)",86|87|88|89,^transport$
