code,name_ru,match
OIL_GAS,Нефтегазовый сектор,^нефтегазовый сектор$
OIL_GAS_PRIMARY,Первичный сектор,^первичный сектор$
OIL_GAS_06_09,Добыча сырой нефти и природного газа; технические услуги в области горнодобывающей промышленности,^добыча сырой нефти
OIL_GAS_SECONDARY,Вторичный сектор,^вторичный сектор$
REFINING_19201,Производство продуктов нефтепереработки,^производство продуктов нефтепереработки
PIPELINE_CONSTRUCTION_MAIN,Работы строительные по прокладке трубопроводов магистральных нефтяных и газовых,^работы строительные по прокладке трубопроводов магистральных
PIPELINE_CONSTRUCTION_LOCAL,Работы строительные по прокладке трубопроводов местных,^работы строительные по прокладке трубопроводов местных
OTHER_CONSTRUCTION,Прочие строительные работы (услуги),^прочие строительные
OIL_GAS_TERTIARY,Третичный сектор,^третичный сектор$
WHOLESALE_CRUDE,Оптовая торговля сырой нефтью и попутным газом,^оптовая торговля сырой нефтью
WHOLESALE_GAS,Оптовая торговля природным (горючим) газом,^оптовая торговля природным
WHOLESALE_OTHER_467113,"Услуги по торговле оптовой, кроме предоставляемых за вознаграждение или на договорной основе",^услуги по торговле оптовой
WHOLESALE_AVIATION_FUEL,Оптовая торговля авиационным бензином и керосином,^оптовая торговля авиационным
WHOLESALE_DIESEL,Оптовая торговля дизельным топливом,^оптовая торговля дизельным
WHOLESALE_FUEL_OIL,Оптовая торговля мазутом топочным,^оптовая торговля мазутом
RETAIL_MOTOR_FUEL,Услуги по торговле розничной топливом моторным,^услуги по торговле розничной
RAIL_OIL_TRANSPORT,Услуги железнодорожного транспорта по перевозкам нефтепродуктов в вагонах-цистернах,^услуги железнодорожного транспорта
ROAD_OIL_TRANSPORT,Услуги автомобильного транспорта по перевозкам нефти автоцистернами,^услуги автомобильного транспорта
PIPELINE_OIL,Услуги по транспортированию неочищенной или очищенной нефти и нефтепродуктов,^услуги по транспортированию неочищенной
PIPELINE_GAS,Услуги по транспортированию по трубопроводам природного газа,^услуги по транспортированию по трубопроводам
SEA_OIL_TRANSPORT,Услуги морского транспорта по перевозкам неочищенной нефти судами-танкерами,^услуги морского транспорта
GEOLOGICAL_EXPLORATION,Услуги по проведению геологической разведки и изысканий,^услуги по проведению геологической
MINERAL_EXPLORATION,Услуги по разведке и оценке полезных ископаемых,^услуги по разведке
SURVEYING,Услуги по съемке надземной маркшейдерской,^услуги по съемке
OILFIELD_EQUIPMENT_RENTAL,Услуги по аренде машин и оборудования без оператора для нефтяных месторождений,^услуги по аренде
NON_OIL_GAS,Ненефтегазовый сектор,^ненефтегазовый
COMMODITY,Сырьевой сектор,^сырьевой сектор$
A01,"Растениеводство и животноводство, охота и предоставление услуг в этих областях",^растениеводство
A02,Лесоводство и лесозаготовки,^лесоводство
A03,Рыболовство и аквакультура,^рыболовство
B,Горнодобывающая промышленность,^горнодобывающая
NON_COMMODITY,Несырьевой сектор,^несырьевой
