code,name_ru,match
KZ,Республика Казахстан,^республика казахстан$
ABY,Абай,^абай$
AKM,Акмолинская,^акмолинская$
AKT,Актюбинская,^актюбинская$
ALM,Алматинская,^алматинская$
ATY,Атырауская,^атырауская$
ZKO,Западно-Казахстанская,^(западно|з)-?казахстанская$
ZHM,Жамбылская,^жамбылская$
ZHT,Жетісу,^(жетису|жетысу)$
KRG,Карагандинская,^карагандинская$
KST,Костанайская,^костанайская$
KZL,Кызылординская,^кызылординская$
MNG,Мангистауская,^манг(и|ы)стауская$
YKO,Южно-Казахстанская,^(южно|ю)-?казахстанская$
PVL,Павлодарская,^павлодарская$
SKO,Северо-Казахстанская,^(северо|с)-?казахстанская$
TRK,Туркестанская,^туркестанская$
ULT,Ұлытау,^улытау$
VKO,Восточно-Казахстанская,^(восточно|в)-?казахстанская$
AST,г. Астана,^г\.? ?астана$
ALA,г. Алматы,^г\.? ?алматы$
SHM,г. Шымкент,^г\.? ?шымкент$
