code,name_ru,name_en,unit,match
CRUDE_PETRO,"Нефть, средняя (Brent, Dubai, WTI), $/баррель","Crude oil, average",$/bbl,"^crude oil, average"
CRUDE_BRENT,"Сырая нефть марки Брент, $/баррель","Crude oil, Brent",$/bbl,"^crude oil, brent"
CRUDE_DUBAI,"Сырая нефть Dubai, $/баррель","Crude oil, Dubai",$/bbl,"^crude oil, dubai"
CRUDE_WTI,"Сырая нефть WTI, $/баррель","Crude oil, WTI",$/bbl,"^crude oil, wti"
COAL_AUS,"Уголь, Австралия, $/м.т.","Coal, Australian",$/mt,"^coal, austral"
COAL_SAFRICA,"Уголь, ЮАР, $/м.т.","Coal, South African",$/mt,"^coal, south afric"
NGAS_US,"Природный газ, США, $/млн брит. тепл. ед.","Natural gas, US",$/mmbtu,"^natural gas, u\.?s\.?$"
NGAS_EUR,"Природный газ, Европа, $/млн брит. тепл. ед.","Natural gas, Europe",$/mmbtu,"^natural gas, europe"
NGAS_JP,"Сжиженный природный газ, Япония, $/млн брит. тепл. ед.","Liquefied natural gas, Japan",$/mmbtu,^liquefied natural gas
NGAS_INDEX,"Индекс цен на природный газ, 2010=100",Natural gas index,2010=100,^natural gas index
COCOA,"Какао, $/кг",Cocoa,$/kg,^cocoa$
COFFEE_ARABIC,"Кофе, арабика, $/кг","Coffee, Arabica",$/kg,"^coffee, arabica"
COFFEE_ROBUS,"Кофе, робуста, $/кг","Coffee, Robusta",$/kg,"^coffee, robusta"
TEA_AVG,"Чай, средний (3 аукциона), $/кг","Tea, avg 3 auctions",$/kg,"^tea, (avg|average)"
TEA_COLOMBO,"Чай, Коломбо, $/кг","Tea, Colombo",$/kg,"^tea, colombo"
TEA_KOLKATA,"Чай, Калькутта, $/кг","Tea, Kolkata",$/kg,"^tea, kolkata"
TEA_MOMBASA,"Чай, Момбаса, $/кг","Tea, Mombasa",$/kg,"^tea, mombasa"
COCONUT_OIL,"Кокосовое масло, $/м.т.",Coconut oil,$/mt,^coconut oil
GRNUT,"Арахис, $/м.т.",Groundnuts,$/mt,^groundnuts$
FISH_MEAL,"Рыбная мука, $/м.т.",Fish meal,$/mt,^fish ?meal
GRNUT_OIL,"Арахисовое масло, $/м.т.",Groundnut oil,$/mt,^groundnut oil
PALM_OIL,"Пальмовое масло, $/м.т.",Palm oil,$/mt,^palm oil$
PLMKRNL_OIL,"Пальмоядровое масло, $/м.т.",Palm kernel oil,$/mt,^palm kernel oil
RAPESEED_OIL,"Рапсовое масло, $/м.т.",Rapeseed oil,$/mt,^rapeseed oil
