variable,h,Внешние шоки,Прочие внутренние,Ставка (ДКП),Курс тенге
brent,0,100.00,0.00,0.00,0.00
brent,4,98.84,0.00,0.00,0.00
brent,8,98.04,0.00,0.00,0.00
brent,20,98.01,0.00,0.00,0.00
fed_funds,0,100.00,0.00,0.00,0.00
fed_funds,4,98.89,0.00,0.00,0.00
fed_funds,8,97.64,0.00,0.00,0.00
fed_funds,20,96.86,0.00,0.00,0.00
rubusd,0,98.37,0.00,0.00,0.00
rubusd,4,98.62,0.00,0.00,0.00
rubusd,8,97.69,0.00,0.00,0.00
rubusd,20,96.89,0.00,0.00,0.00
gdp_sa,0,8.62,88.63,0.00,0.00
gdp_sa,4,14.64,76.70,1.08,0.33
gdp_sa,8,16.27,72.21,1.52,0.66
gdp_sa,20,20.55,60.75,1.87,1.53
usdkzt,0,14.21,0.74,0.00,81.54
usdkzt,4,17.35,4.71,0.58,69.06
usdkzt,8,25.85,6.60,1.18,55.87
usdkzt,20,43.68,5.26,1.23,36.81
cpi_sa,0,12.26,82.68,0.00,0.67
cpi_sa,4,30.86,59.50,1.49,3.08
cpi_sa,8,37.41,51.77,1.52,3.47
cpi_sa,20,40.99,47.68,1.44,3.89
tonia,0,7.78,26.09,59.41,0.83
tonia,4,18.79,27.06,44.96,2.36
tonia,8,31.64,21.81,35.53,3.72
tonia,20,51.91,14.37,22.91,4.13
