quarter,actual,baseline,Внешние шоки,Прочие внутренние,Ставка (ДКП),Курс тенге,variable
2012Q4,4.2961,1.3577,0.8290,1.9143,0.2348,-0.0396,gdp_sa
2013Q1,6.8993,1.5707,1.1554,4.0259,0.1752,-0.0280,gdp_sa
2013Q2,7.2147,1.7654,0.6950,4.5624,0.2377,-0.0457,gdp_sa
2013Q3,5.3439,1.9503,0.3723,3.0914,0.0087,-0.0788,gdp_sa
2013Q4,4.9120,2.1127,0.1669,2.7561,-0.0788,-0.0449,gdp_sa
2014Q1,4.0301,2.2572,-0.2970,2.1437,-0.0403,-0.0335,gdp_sa
2014Q2,1.2039,2.3850,-0.7596,0.5969,-0.6353,-0.3831,gdp_sa
2014Q3,3.7739,2.4986,-0.1705,1.6951,0.2391,-0.4884,gdp_sa
2014Q4,4.2530,2.6000,-0.7814,2.6917,0.1872,-0.4445,gdp_sa
2015Q1,-0.2206,2.6913,-2.1687,0.7504,-1.1577,-0.3359,gdp_sa
2015Q2,3.9473,2.7741,-2.3224,3.6168,-0.2176,0.0965,gdp_sa
2015Q3,0.2957,2.8497,-1.6718,-0.0861,-0.8167,0.0206,gdp_sa
2015Q4,-0.3136,2.9192,-2.3627,-0.1580,-0.4153,-0.2968,gdp_sa
2016Q1,0.9281,2.9838,-0.9784,1.8145,-1.3028,-1.5890,gdp_sa
2016Q2,-1.1862,3.0441,-1.1949,-0.2593,-1.0038,-1.7722,gdp_sa
2016Q3,1.5081,3.1007,-1.4112,2.0192,-0.7079,-1.4928,gdp_sa
2016Q4,2.6471,3.1542,-0.6485,2.0138,-0.6540,-1.2184,gdp_sa
2017Q1,2.9875,3.2049,-0.5205,-1.3241,1.5063,0.1208,gdp_sa
2017Q2,5.1351,3.2532,0.6218,-0.0008,0.7322,0.5289,gdp_sa
2017Q3,4.3356,3.2992,-0.2455,0.2889,0.4357,0.5572,gdp_sa
2017Q4,3.2357,3.3433,-0.1684,-0.4988,0.0869,0.4727,gdp_sa
2018Q1,5.4468,3.3856,-0.2796,1.8585,0.0843,0.3980,gdp_sa
2018Q2,3.9293,3.4261,-1.0223,1.0972,0.0561,0.3722,gdp_sa
2018Q3,3.5302,3.4650,-1.1762,0.9344,0.0793,0.2276,gdp_sa
2018Q4,2.2758,3.5024,-0.5682,-0.8735,0.0492,0.1659,gdp_sa
2019Q1,4.9242,3.5383,-0.1667,1.3156,0.0600,0.1769,gdp_sa
2019Q2,4.1327,3.5729,0.1785,0.5086,-0.0203,-0.1070,gdp_sa
2019Q3,4.8337,3.6061,0.6825,0.5917,-0.0618,0.0152,gdp_sa
2019Q4,3.5405,3.6381,0.1531,-0.5531,0.0696,0.2328,gdp_sa
2020Q1,-1.9342,3.6689,-0.5657,-5.3374,0.0893,0.2107,gdp_sa
2020Q2,-6.5346,3.6985,-0.9124,-9.8925,0.1879,0.3839,gdp_sa
2020Q3,1.3001,3.7270,-3.5001,0.6719,0.3462,0.0551,gdp_sa
2020Q4,0.8414,3.7544,-3.3703,0.3710,-0.0360,0.1223,gdp_sa
2021Q1,1.4679,3.7808,-3.8551,1.2970,0.0838,0.1613,gdp_sa
2021Q2,8.4602,3.8062,-3.6932,8.1934,0.0306,0.1231,gdp_sa
2021Q3,3.6297,3.8307,-1.4109,0.9634,-0.0905,0.3371,gdp_sa
