scale,lambda,mu,log_ml,sample
1.000,0.050,0.500,-1237.886,2011Q2
1.000,0.050,1.000,-1237.539,2011Q2
1.000,0.050,2.000,-1237.380,2011Q2
1.000,0.050,5.000,-1237.755,2011Q2
1.000,0.050,10.000,-1238.220,2011Q2
1.000,0.050,25.000,-1238.841,2011Q2
1.000,0.050,100.000,-1240.007,2011Q2
1.000,0.100,0.500,-1231.602,2011Q2
1.000,0.100,1.000,-1230.869,2011Q2
1.000,0.100,2.000,-1230.132,2011Q2
1.000,0.100,5.000,-1229.704,2011Q2
1.000,0.100,10.000,-1230.143,2011Q2
1.000,0.100,25.000,-1230.893,2011Q2
1.000,0.100,100.000,-1232.483,2011Q2
1.000,0.150,0.500,-1225.489,2011Q2
1.000,0.150,1.000,-1224.424,2011Q2
1.000,0.150,2.000,-1223.362,2011Q2
1.000,0.150,5.000,-1222.739,2011Q2
1.000,0.150,10.000,-1223.390,2011Q2
1.000,0.150,25.000,-1224.706,2011Q2
1.000,0.150,100.000,-1226.426,2011Q2
1.000,0.200,0.500,-1220.657,2011Q2
1.000,0.200,1.000,-1219.326,2011Q2
1.000,0.200,2.000,-1218.053,2011Q2
1.000,0.200,5.000,-1217.446,2011Q2
1.000,0.200,10.000,-1218.488,2011Q2
1.000,0.200,25.000,-1220.620,2011Q2
1.000,0.200,100.000,-1222.659,2011Q2
1.000,0.300,0.500,-1214.480,2011Q2
1.000,0.300,1.000,-1212.852,2011Q2
1.000,0.300,2.000,-1211.318,2011Q2
1.000,0.300,5.000,-1210.759,2011Q2
1.000,0.300,10.000,-1212.470,2011Q2
1.000,0.300,25.000,-1216.288,2011Q2
1.000,0.300,100.000,-1219.493,2011Q2
1.000,0.500,0.500,-1210.874,2011Q2
1.000,0.500,1.000,-1209.303,2011Q2
1.000,0.500,2.000,-1207.626,2011Q2
1.000,0.500,5.000,-1206.990,2011Q2
1.000,0.500,10.000,-1209.212,2011Q2
1.000,0.500,25.000,-1215.336,2011Q2
1.000,0.500,100.000,-1221.461,2011Q2
1.000,0.750,0.500,-1213.899,2011Q2
1.000,0.750,1.000,-1212.813,2011Q2
1.000,0.750,2.000,-1211.396,2011Q2
1.000,0.750,5.000,-1210.765,2011Q2
1.000,0.750,10.000,-1213.126,2011Q2
1.000,0.750,25.000,-1220.623,2011Q2
1.000,0.750,100.000,-1230.084,2011Q2
1.000,1.000,0.500,-1219.914,2011Q2
1.000,1.000,1.000,-1219.352,2011Q2
1.000,1.000,2.000,-1218.386,2011Q2
1.000,1.000,5.000,-1217.929,2011Q2
1.000,1.000,10.000,-1220.367,2011Q2
1.000,1.000,25.000,-1228.519,2011Q2
1.000,1.000,100.000,-1240.706,2011Q2
1.000,1.500,0.500,-1233.448,2011Q2
1.000,1.500,1.000,-1233.832,2011Q2
1.000,1.500,2.000,-1233.809,2011Q2
1.000,1.500,5.000,-1233.964,2011Q2
1.000,1.500,10.000,-1236.571,2011Q2
1.000,1.500,25.000,-1245.302,2011Q2
1.000,1.500,100.000,-1261.410,2011Q2
2.000,0.050,0.500,-1166.674,2011Q2
2.000,0.050,1.000,-1166.233,2011Q2
2.000,0.050,2.000,-1165.942,2011Q2
2.000,0.050,5.000,-1166.209,2011Q2
2.000,0.050,10.000,-1166.623,2011Q2
2.000,0.050,25.000,-1167.174,2011Q2
2.000,0.050,100.000,-1168.242,2011Q2
2.000,0.100,0.500,-1163.205,2011Q2
2.000,0.100,1.000,-1162.389,2011Q2
