shock,variable,h,p16,median,p84
oil,brent,0,10.0000,10.0000,10.0000
oil,brent,1,8.1922,9.2018,10.1810
oil,brent,2,7.0664,8.1165,9.2475
oil,brent,3,5.8811,7.0081,8.3613
oil,brent,4,4.7239,6.0159,7.5211
oil,brent,5,3.7053,5.0847,6.6107
oil,brent,6,2.8391,4.2431,5.8516
oil,brent,7,2.0897,3.5068,5.0285
oil,brent,8,1.4801,2.8421,4.3979
oil,brent,9,1.0040,2.2709,3.7970
oil,brent,10,0.5731,1.7931,3.3188
oil,brent,11,0.2773,1.3876,2.8422
oil,brent,12,0.0660,1.0487,2.4843
oil,brent,13,-0.0919,0.8134,2.1435
oil,brent,14,-0.2623,0.6172,1.9066
oil,brent,15,-0.3413,0.4773,1.6996
oil,brent,16,-0.3833,0.3668,1.4835
oil,brent,17,-0.4587,0.2758,1.3063
oil,brent,18,-0.4827,0.2101,1.1512
oil,brent,19,-0.4882,0.1669,1.0119
oil,brent,20,-0.4892,0.1459,0.8958
oil,fed_funds,0,-0.0337,-0.0093,0.0158
oil,fed_funds,1,-0.0269,0.0161,0.0603
oil,fed_funds,2,0.0005,0.0553,0.1105
oil,fed_funds,3,0.0353,0.0969,0.1575
oil,fed_funds,4,0.0631,0.1295,0.1985
oil,fed_funds,5,0.0828,0.1546,0.2274
oil,fed_funds,6,0.0973,0.1695,0.2434
oil,fed_funds,7,0.0955,0.1731,0.2523
oil,fed_funds,8,0.0910,0.1667,0.2539
oil,fed_funds,9,0.0816,0.1560,0.2469
oil,fed_funds,10,0.0658,0.1404,0.2384
oil,fed_funds,11,0.0455,0.1257,0.2285
oil,fed_funds,12,0.0316,0.1105,0.2143
oil,fed_funds,13,0.0180,0.0938,0.2010
oil,fed_funds,14,0.0029,0.0803,0.1886
oil,fed_funds,15,-0.0065,0.0684,0.1756
oil,fed_funds,16,-0.0192,0.0559,0.1646
oil,fed_funds,17,-0.0273,0.0459,0.1504
oil,fed_funds,18,-0.0329,0.0364,0.1405
oil,fed_funds,19,-0.0356,0.0297,0.1332
oil,fed_funds,20,-0.0366,0.0248,0.1228
oil,rubusd,0,-2.9174,-2.1192,-1.3141
oil,rubusd,1,-3.4006,-2.3330,-1.3114
oil,rubusd,2,-3.2867,-2.1782,-1.1811
oil,rubusd,3,-3.0006,-1.8790,-0.8457
oil,rubusd,4,-2.6698,-1.5239,-0.4128
oil,rubusd,5,-2.3380,-1.1171,0.1103
oil,rubusd,6,-2.0151,-0.7300,0.5800
oil,rubusd,7,-1.7221,-0.3915,0.9892
oil,rubusd,8,-1.4650,-0.1154,1.2965
oil,rubusd,9,-1.3036,0.0846,1.5427
oil,rubusd,10,-1.1730,0.2447,1.7198
oil,rubusd,11,-1.0888,0.3385,1.8306
oil,rubusd,12,-0.9961,0.3799,1.9109
oil,rubusd,13,-0.9430,0.4166,1.9808
oil,rubusd,14,-0.9099,0.4086,2.0333
oil,rubusd,15,-0.8829,0.4062,2.0447
oil,rubusd,16,-0.8901,0.3972,2.0082
oil,rubusd,17,-0.8949,0.3732,1.9736
oil,rubusd,18,-0.8977,0.3497,1.9273
oil,rubusd,19,-0.8826,0.3104,1.9041
oil,rubusd,20,-0.8859,0.2859,1.8515
oil,gdp_sa,0,-0.2258,-0.0417,0.1326
oil,gdp_sa,1,-0.2134,0.0038,0.2262
oil,gdp_sa,2,-0.1876,0.0288,0.2596
oil,gdp_sa,3,-0.1720,0.0735,0.3205
oil,gdp_sa,4,-0.1588,0.1147,0.3726
oil,gdp_sa,5,-0.1637,0.1411,0.4262
oil,gdp_sa,6,-0.1717,0.1645,0.4786
oil,gdp_sa,7,-0.1739,0.1851,0.5204
oil,gdp_sa,8,-0.1832,0.1956,0.5629
oil,gdp_sa,9,-0.1858,0.2023,0.5860
oil,gdp_sa,10,-0.1883,0.2089,0.6194
oil,gdp_sa,11,-0.1850,0.2159,0.6615
oil,gdp_sa,12,-0.2010,0.2203,0.6746
oil,gdp_sa,13,-0.2020,0.2271,0.7000
oil,gdp_sa,14,-0.2171,0.2336,0.7170
oil,gdp_sa,15,-0.2196,0.2335,0.7330
oil,gdp_sa,16,-0.2327,0.2376,0.7471
oil,gdp_sa,17,-0.2349,0.2367,0.7643
oil,gdp_sa,18,-0.2362,0.2459,0.7682
oil,gdp_sa,19,-0.2430,0.2450,0.7695
oil,gdp_sa,20,-0.2478,0.2439,0.7798
oil,usdkzt,0,-0.9200,-0.5578,-0.2195
oil,usdkzt,1,-0.9151,-0.3780,0.1502
oil,usdkzt,2,-0.8914,-0.2965,0.2862
oil,usdkzt,3,-1.0272,-0.3483,0.2758
oil,usdkzt,4,-1.1626,-0.4109,0.2997
oil,usdkzt,5,-1.2583,-0.4574,0.3113
oil,usdkzt,6,-1.3431,-0.4857,0.3386
oil,usdkzt,7,-1.4059,-0.4825,0.4187
oil,usdkzt,8,-1.4564,-0.4441,0.4827
oil,usdkzt,9,-1.4617,-0.3987,0.5604
oil,usdkzt,10,-1.4451,-0.3612,0.6389
oil,usdkzt,11,-1.4547,-0.3214,0.7227
oil,usdkzt,12,-1.4394,-0.2952,0.7776
oil,usdkzt,13,-1.4163,-0.2755,0.8377
oil,usdkzt,14,-1.4007,-0.2352,0.9190
oil,usdkzt,15,-1.3680,-0.2033,0.9408
oil,usdkzt,16,-1.3407,-0.1693,0.9865
oil,usdkzt,17,-1.3530,-0.1586,1.0168
oil,usdkzt,18,-1.3250,-0.1434,1.0623
oil,usdkzt,19,-1.3051,-0.1177,1.1002
oil,usdkzt,20,-1.2834,-0.1069,1.0986
oil,cpi_sa,0,-0.0278,0.2811,0.5942
oil,cpi_sa,1,0.3865,0.7334,1.0753
oil,cpi_sa,2,0.3533,0.6050,0.8606
oil,cpi_sa,3,0.2429,0.4897,0.7340
oil,cpi_sa,4,0.1189,0.3452,0.6004
oil,cpi_sa,5,0.0250,0.2318,0.4763
oil,cpi_sa,6,-0.0603,0.1414,0.3718
oil,cpi_sa,7,-0.1184,0.0664,0.2851
oil,cpi_sa,8,-0.1612,0.0128,0.2145
oil,cpi_sa,9,-0.1852,-0.0209,0.1710
oil,cpi_sa,10,-0.2008,-0.0378,0.1408
oil,cpi_sa,11,-0.1955,-0.0455,0.1187
