quarter,ystar_filtered,gap_filtered,gap_sd_filtered,g_filtered,z_filtered,rstar_filtered,rstar_sd_filtered,ystar_smoothed,gap_smoothed,gap_sd_smoothed,g_smoothed,z_smoothed,rstar_smoothed,rstar_sd_smoothed,r,tonia,pi_e,us_real_trend,eurobond_spread_pp,parity_floor
2012Q3,1570.3155,0.1003,1.0315,4.6304,-2.4716,2.1589,4.3957,1570.6023,-0.1865,0.9171,3.5925,-2.5556,1.0369,3.7537,-3.8478,1.0845,4.9322,0.7424,,
2012Q4,1571.1833,0.2698,1.0918,4.3976,-2.6017,1.7959,4.2435,1571.6856,-0.2325,0.9494,3.5784,-2.5692,1.0092,3.7973,-4.1948,1.6637,5.8585,0.7482,,
2013Q1,1573.7774,1.5730,1.1443,5.5524,-2.0533,3.4990,4.1799,1573.4313,1.9191,0.9794,3.5500,-2.6122,0.9378,3.8425,-6.0330,0.4938,6.5268,0.7632,,
2013Q2,1575.2403,1.1228,1.1870,5.5431,-2.2668,3.2763,4.1644,1574.3991,1.9641,1.0071,3.5206,-2.6538,0.8668,3.8889,-4.9330,0.9612,5.8942,0.7850,,
2013Q3,1575.2764,0.4832,1.2207,4.7682,-2.3030,2.4652,4.1767,1574.9077,0.8519,1.0329,3.4973,-2.6837,0.8137,3.9361,-2.9008,2.8212,5.7220,0.8112,,
2013Q4,1575.9302,0.4349,1.2467,4.4801,-2.3514,2.1287,4.2048,1575.6820,0.6832,1.0620,3.4756,-2.7131,0.7624,3.9834,-2.3613,2.6255,4.9868,0.8390,,
2014Q1,1577.2040,2.1765,1.5314,4.5553,-2.3396,2.2156,4.2600,1576.5717,2.8087,1.1715,3.4542,-2.7315,0.7228,4.0304,3.2196,8.3875,5.1678,0.8661,,
2014Q2,1576.8613,0.7058,1.4219,3.9039,-2.3415,1.5624,4.2939,1577.0928,0.4743,1.1487,3.4382,-2.7442,0.6940,4.0776,-5.8646,0.6980,6.5627,0.8902,,
2014Q3,1578.4453,1.0882,1.3762,4.1457,-2.4125,1.7332,4.3360,1578.2692,1.2643,1.1493,3.4171,-2.7652,0.6519,4.1247,-5.6456,1.4442,7.0898,0.9099,,
2014Q4,1579.4967,1.1214,1.6280,4.1509,-2.4194,1.7314,4.3909,1579.1186,1.4996,1.2408,3.3969,-2.7736,0.6233,4.1713,10.3547,17.8979,7.5433,0.9230,,
2015Q1,1579.3530,-0.1931,1.4849,3.7211,-2.5312,1.1898,4.4339,1579.6905,-0.5306,1.2063,3.3801,-2.7898,0.5903,4.2179,8.6945,14.7092,6.0147,0.9275,3.1343,4.0618
2015Q2,1582.0117,-0.4974,1.4196,4.2767,-2.9482,1.3285,4.4794,1581.1199,0.3944,1.2002,3.3536,-2.8255,0.5281,4.2641,3.5772,7.8409,4.2637,0.9215,2.6980,3.6195
2015Q3,1582.8466,-3.0174,1.6514,4.2046,-2.8954,1.3093,4.5331,1581.7331,-1.9039,1.2977,3.3305,-2.8594,0.4711,4.3094,4.1875,8.2243,4.0368,0.9038,3.4987,4.4025
2015Q4,1583.5844,-3.2799,1.8585,4.1211,-2.6914,1.4297,4.5859,1582.4160,-2.1115,1.3584,3.3095,-2.8925,0.4170,4.3539,26.2231,37.4598,11.2368,0.8739,3.1153,3.9892
2016Q1,1584.5328,-4.4448,2.0438,4.0925,-2.7722,1.3203,4.6379,1583.0831,-2.9951,1.3822,3.2909,-2.9249,0.3660,4.3980,11.6884,25.5524,13.8640,0.8320,3.3323,4.1643
2016Q2,1584.9652,-4.6371,1.7035,3.9003,-3.2546,0.6458,4.6794,1583.6445,-3.3164,1.2965,3.2764,-2.9537,0.3227,4.4420,-0.9519,14.3816,15.3336,0.7789,2.9660,3.7449
2016Q3,1584.9273,-3.5900,1.5509,3.6357,-3.1177,0.5180,4.7227,1584.1507,-2.8134,1.2446,3.2666,-2.9784,0.2882,4.4859,-3.5167,12.3205,15.8373,0.7156,2.4450,3.1606
2016Q4,1585.4280,-2.4764,1.4669,3.5188,-3.2996,0.2191,4.7661,1584.6864,-1.7348,1.2124,3.2618,-2.9900,0.2718,4.5294,2.6703,11.5174,8.8471,0.6428,2.3127,2.9555
